Trajectories
100
,,maze:take_off,,,maze:enter_right,,,maze:enter_left,,,maze:enter_far-left,,,maze:enter_far-right,,,maze:y-join_left,,,maze:y-join_right,,,maze:exit_left,,,maze:exit_right,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
66,0,-1011.908081,1561.911987,-18.736448,-1435.384277,-131.986130,13.123517,-364.817352,-141.869858,7.537095,1791.411011,-171.663712,13.854799,-3908.871338,-89.838554,2.707900,-394.587708,-1921.167358,41.352821,-1417.858643,-1906.437744,43.403492,388.198669,-3223.059814,62.443611,-2219.923828,-3222.590088,56.703510
67,0,-1011.940979,1561.889160,-18.777721,-1435.458252,-132.040436,13.079062,-364.534058,-141.935745,7.614217,1791.298096,-171.706009,13.892370,-3909.544922,-89.595505,2.245041,-394.588287,-1921.165649,41.354259,-1417.858276,-1906.437622,43.396591,388.200134,-3223.062744,62.441959,-2219.908691,-3222.570801,56.692001
68,0,-1011.903503,1562.266724,-19.129427,-1435.373535,-131.981308,13.120726,-364.631378,-141.932053,7.475515,1791.299561,-171.726105,13.918175,-3909.514404,-89.532448,2.198526,-394.582336,-1921.175171,41.360909,-1417.853394,-1906.429688,43.378239,388.203369,-3223.040283,62.446335,-2219.888184,-3222.498535,56.695824
69,0,-1011.894470,1562.442871,-18.842043,-1435.439575,-132.006027,13.081022,-364.684631,-141.898727,7.541153,1791.306030,-171.704880,13.923815,-3909.458496,-89.640144,2.250572,-394.578674,-1921.202026,41.323227,-1417.854492,-1906.431030,43.373566,388.193512,-3223.002686,62.465736,-2219.815186,-3222.540283,56.689968
70,0,-1011.856812,1561.898193,-18.926689,-1435.449707,-132.010483,13.075855,-364.560394,-141.944336,7.442652,1791.214722,-171.728867,13.928977,-3909.568604,-89.487083,2.200922,-394.583069,-1921.234375,41.280075,-1417.865967,-1906.435425,43.372795,388.203094,-3223.006348,62.460304,-2219.872559,-3222.522949,56.676334
71,0,-1011.857727,1561.725098,-18.573336,-1435.465576,-132.016190,13.072672,-364.471161,-141.982376,7.562310,1791.216919,-171.729416,13.929953,-3909.435547,-89.565453,2.252651,-394.592590,-1921.212646,41.293064,-1417.855713,-1906.441040,43.394009,388.200226,-3222.993896,62.465366,-2219.872559,-3222.511719,56.696423
72,0,-1011.890991,1561.694214,-18.673414,-1435.380371,-131.997055,13.130394,-364.651367,-141.893295,7.513347,1791.297852,-171.742691,13.906185,-3909.443604,-89.525391,2.233311,-394.603699,-1921.204712,41.298912,-1417.865112,-1906.438599,43.393150,388.204254,-3222.996338,62.468761,-2219.842773,-3222.500732,56.721275
73,0,-1011.857727,1561.725586,-18.620022,-1435.406006,-132.005127,13.120398,-364.484344,-141.952316,7.547735,1791.225464,-171.726471,13.920679,-3909.554688,-89.510025,2.159819,-394.608124,-1921.190918,41.314930,-1417.886353,-1906.465698,43.375156,388.191711,-3223.026855,62.462456,-2219.912842,-3222.478271,56.702694
74,0,-1011.854980,1561.900024,-18.692936,-1435.402710,-131.991028,13.113512,-364.470673,-141.947449,7.558896,1791.231567,-171.705872,13.899662,-3909.364746,-89.583893,2.251710,-394.606201,-1921.165161,41.324799,-1417.857422,-1906.453247,43.386990,388.218048,-3223.070312,62.402691,-2219.924072,-3222.549316,56.683296
75,0,-1011.887451,1561.865112,-18.670677,-1435.476440,-132.005630,13.050099,-364.502594,-141.953323,7.582576,1791.335693,-171.663834,13.844668,-3909.424072,-89.493729,2.207660,-394.595093,-1921.198853,41.332779,-1417.862061,-1906.443726,43.396530,388.190857,-3223.031738,62.455864,-2219.975830,-3222.590088,56.656029
76,0,-1011.908386,1562.089600,-19.003832,-1435.410034,-131.996048,13.131154,-364.518982,-141.961090,7.566203,1791.264160,-171.725235,13.836622,-3908.883789,-89.830055,2.680359,-394.591125,-1921.208008,41.338326,-1417.867065,-1906.479492,43.389427,388.196228,-3223.044922,62.434414,-2219.905029,-3222.556396,56.703373
77,0,-1011.940002,1561.888916,-18.638010,-1435.375977,-131.972473,13.125772,-364.782959,-141.914230,7.533482,1791.276611,-171.734222,13.817698,-3909.428223,-89.577560,2.310905,-394.612427,-1921.231445,41.325333,-1417.864502,-1906.460693,43.375725,388.187439,-3223.048340,62.418350,-2219.911865,-3222.502930,56.720047
78,0,-1011.889954,1561.695923,-18.529469,-1435.319214,-131.970444,13.152702,-364.491577,-141.987106,7.513596,1791.251099,-171.725998,13.826140,-3909.415527,-89.532463,2.272069,-394.611786,-1921.231689,41.324490,-1417.839966,-1906.458130,43.408249,388.191132,-3223.048828,62.419151,-2219.894775,-3222.708496,56.645023
79,0,-1011.942383,1561.714111,-18.496201,-1435.416504,-131.978363,13.105684,-364.459320,-141.983871,7.490844,1791.354736,-171.743927,13.776089,-3909.279785,-89.562775,2.311884,-394.611053,-1921.231079,41.326103,-1417.854736,-1906.435913,43.410969,388.188599,-3223.085938,62.430264,-2219.904053,-3222.714111,56.666939
80,0,-1011.860840,1561.555542,-18.437456,-1435.409180,-131.980423,13.116857,-364.694305,-141.917404,7.506306,1791.218140,-171.722214,13.870770,-3909.299316,-89.638367,2.280158,-394.594330,-1921.202881,41.326595,-1417.857178,-1906.436157,43.395882,388.199524,-3223.082764,62.413391,-2219.904541,-3222.770020,56.659294
81,0,-1011.900085,1561.349609,-18.481129,-1435.444458,-132.018738,13.114916,-364.498779,-141.963577,7.549218,1791.291870,-171.700470,13.840820,-3909.348877,-89.621185,2.315490,-394.582764,-1921.172363,41.343761,-1417.855347,-1906.432617,43.395000,388.180573,-3223.059326,62.427856,-2219.873291,-3222.570068,56.690750
82,0,-1011.899597,1561.348633,-18.467710,-1435.492432,-132.018723,13.076766,-364.743622,-141.892838,7.514435,1791.212036,-171.704315,13.859343,-3908.811035,-89.856102,2.736362,-394.579773,-1921.158447,41.367756,-1417.840820,-1906.447266,43.402378,388.197662,-3223.059814,62.413677,-2219.846191,-3222.733398,56.686069
83,0,-1011.921387,1561.730835,-18.923635,-1435.464111,-131.992905,13.093650,-364.806702,-141.891235,7.514476,1791.222778,-171.707474,13.895226,-3909.394043,-89.564087,2.285124,-394.586884,-1921.166992,41.353374,-1417.858398,-1906.437378,43.391094,388.196289,-3223.045898,62.435894,-2219.853760,-3222.551025,56.691402
84,0,-1011.890625,1561.699951,-18.597042,-1435.432007,-131.992889,13.128648,-364.617676,-141.939270,7.474730,1791.286621,-171.704712,13.881070,-3908.991699,-89.832558,2.645984,-394.595520,-1921.193481,41.319756,-1417.862793,-1906.438965,43.386078,388.208191,-3223.034180,62.460522,-2219.887207,-3222.525879,56.698719
85,0,-1011.853577,1561.900391,-18.583473,-1435.437012,-132.002106,13.078432,-364.508606,-141.990433,7.573953,1791.214600,-171.750107,13.909657,-3909.011963,-89.822968,2.612512,-394.610840,-1921.227417,41.314110,-1417.868530,-1906.457520,43.383919,388.186890,-3223.008789,62.471851,-2219.908691,-3222.505371,56.693192
86,0,-1011.855469,1561.901978,-18.764027,-1435.405396,-131.996674,13.132117,-364.822052,-141.894470,7.585087,1791.366943,-171.737549,13.868078,-3909.602051,-89.562523,2.148196,-394.604950,-1921.235474,41.318832,-1417.858521,-1906.456543,43.385036,388.207733,-3223.029541,62.473133,-2219.869873,-3222.500977,56.673519
87,0,-1011.889954,1561.699097,-18.545418,-1435.370483,-131.990891,13.096254,-364.549652,-141.967484,7.374051,1791.300293,-171.724777,13.913087,-3909.460693,-89.555595,2.214938,-394.589996,-1921.184326,41.315315,-1417.834473,-1906.453003,43.403206,388.210419,-3222.991699,62.492764,-2219.841797,-3222.560059,56.724751
88,0,-1011.894836,1561.521484,-18.493162,-1435.434448,-132.008636,13.064818,-364.452087,-141.952744,7.584671,1791.291870,-171.727570,13.912744,-3909.499268,-89.533157,2.160593,-394.587311,-1921.209351,41.339436,-1417.846802,-1906.457031,43.394367,388.214020,-3223.028320,62.474976,-2219.875977,-3222.479004,56.757622
89,0,-1011.915833,1561.576294,-18.530802,-1435.472900,-132.015701,13.057385,-364.496552,-141.947449,7.595469,1791.312012,-171.702057,13.897071,-3908.866699,-89.858582,2.672957,-394.586365,-1921.181519,41.331783,-1417.852539,-1906.463257,43.381893,388.187500,-3223.025635,62.480900,-2219.895996,-3222.532471,56.719143
90,0,-1011.863098,1561.550415,-18.539068,-1435.381592,-132.000839,13.119178,-364.522247,-141.956635,7.617514,1791.309448,-171.700912,13.894926,-3908.901123,-89.847946,2.682720,-394.594727,-1921.203003,41.322693,-1417.864868,-1906.455933,43.385448,388.201080,-3223.042236,62.447983,-2219.884521,-3222.487793,56.722099
91,0,-1011.892090,1561.697632,-18.709129,-1435.356812,-131.969131,13.164210,-364.529999,-141.947083,7.596859,1791.222656,-171.729095,13.921653,-3909.489990,-89.541306,2.203652,-394.608337,-1921.194946,41.289307,-1417.885986,-1906.447876,43.383438,388.197235,-3223.037598,62.431900,-2219.912109,-3222.471436,56.681103
92,0,-1011.854797,1561.899780,-18.692011,-1435.421997,-132.014435,13.114285,-364.523499,-141.965515,7.586778,1791.204102,-171.749619,13.891002,-3909.511963,-89.617157,2.219733,-394.607574,-1921.232056,41.271763,-1417.874390,-1906.443726,43.386658,388.202942,-3223.074707,62.412258,-2219.893555,-3222.508057,56.689362
93,0,-1011.850830,1562.079346,-18.915281,-1435.419922,-132.004349,13.139610,-364.767090,-141.901962,7.587765,1791.196167,-171.730606,13.890585,-3909.402832,-89.583420,2.224215,-394.612030,-1921.230469,41.271538,-1417.882324,-1906.432007,43.380299,388.203003,-3223.083252,62.414516,-2219.897949,-3222.487305,56.681515
94,0,-1011.852051,1561.900879,-18.493824,-1435.359619,-131.979446,13.135599,-364.520630,-141.976257,7.556374,1791.171387,-171.755112,13.858676,-3909.344727,-89.521828,2.226196,-394.607239,-1921.224731,41.296616,-1417.876099,-1906.446533,43.382092,388.177368,-3223.061035,62.408817,-2219.903320,-3222.710938,56.659893
95,0,-1011.850464,1562.077881,-18.891064,-1435.421631,-131.959488,13.099072,-364.518158,-141.956711,7.568135,1791.289185,-171.718292,13.847672,-3909.542236,-89.500420,2.067488,-394.594086,-1921.202026,41.323475,-1417.867798,-1906.438599,43.403381,388.191681,-3223.088623,62.402878,-2219.824463,-3222.702148,56.681030
96,0,-1011.850830,1562.077515,-18.912930,-1435.435303,-131.991714,13.113735,-364.531067,-141.966049,7.565087,1791.325684,-171.699524,13.816806,-3908.882568,-89.829926,2.665921,-394.580933,-1921.172119,41.344688,-1417.858765,-1906.445435,43.388073,388.190491,-3223.110596,62.416115,-2219.796875,-3222.518066,56.731487
97,0,-1011.907349,1562.088257,-18.985132,-1435.443481,-132.019180,13.078886,-364.516785,-141.952240,7.541397,1791.295410,-171.705688,13.803717,-3909.462158,-89.559883,2.258461,-394.581360,-1921.175293,41.360279,-1417.855713,-1906.447998,43.416992,388.177002,-3223.078613,62.422020,-2219.803223,-3222.521973,56.732819
98,0,-1011.907715,1561.918579,-18.626219,-1435.429077,-131.992935,13.057886,-364.559662,-141.980927,7.578575,1791.362061,-171.712891,13.825624,-3909.552002,-89.584900,2.204596,-394.588043,-1921.166382,41.357517,-1417.857422,-1906.454102,43.392300,388.183960,-3223.047119,62.424942,-2219.841553,-3222.664307,56.692104
99,0,-1011.939758,1561.890015,-18.591156,-1435.458374,-132.021484,13.063411,-364.749512,-141.920197,7.536480,1791.276855,-171.700455,13.845174,-3908.927246,-89.837532,2.666547,-394.601196,-1921.200562,41.348110,-1417.865723,-1906.436035,43.398827,388.196686,-3223.033691,62.431351,-2219.824219,-3222.498047,56.736557
100,0,-1011.887085,1561.875366,-18.623081,-1435.414185,-131.994156,13.088863,-364.769592,-141.927170,7.504899,1791.244629,-171.728104,13.823276,-3909.542725,-89.521812,2.208784,-394.605713,-1921.218872,41.328678,-1417.864746,-1906.449219,43.396580,388.197235,-3223.001709,62.467743,-2219.846924,-3222.469971,56.727875

