Trajectories
100
,,maze:take_off,,,maze:enter_right,,,maze:enter_left,,,maze:enter_far-left,,,maze:enter_far-right,,,maze:y-join_left,,,maze:y-join_right,,,maze:exit_left,,,maze:exit_right,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
18,0,-1011.936096,1562.063965,-18.707390,-1435.425659,-132.010529,13.091603,-364.768921,-141.915527,7.541450,1791.267456,-171.747314,13.763984,-3909.523193,-89.514328,2.131079,-394.586853,-1921.232178,41.287354,-1417.838501,-1906.458984,43.398014,388.180328,-3223.006836,62.437336,-2219.899170,-3222.586426,56.693237
19,0,-1011.940002,1561.889404,-18.679806,-1435.453003,-132.033646,13.075133,-364.543121,-141.974548,7.525441,1791.358032,-171.740631,13.764069,-3909.437500,-89.551949,2.179203,-394.589508,-1921.244385,41.272408,-1417.836060,-1906.430420,43.377502,388.162506,-3223.001465,62.459591,-2219.887451,-3222.471436,56.695480
20,0,-1011.886719,1561.874634,-18.640959,-1435.502563,-132.054138,13.043573,-364.528442,-141.972488,7.544631,1791.329224,-171.742325,13.819691,-3909.483643,-89.537384,2.092444,-394.588776,-1921.250732,41.277782,-1417.839111,-1906.444580,43.384655,388.160706,-3223.031738,62.433216,-2219.910156,-3222.530029,56.638905
21,0,-1011.935974,1562.065186,-18.666498,-1435.382324,-132.019272,13.108762,-364.644531,-141.950958,7.457951,1791.270752,-171.729019,13.853714,-3909.459473,-89.536781,2.135900,-394.581238,-1921.216187,41.303879,-1417.837891,-1906.444458,43.375523,388.164368,-3223.068115,62.409824,-2219.880859,-3222.586914,56.637703
22,0,-1011.940613,1561.887695,-18.672722,-1435.427490,-132.022430,13.091397,-364.690155,-141.953369,7.423519,1791.390137,-171.692871,13.857731,-3909.354980,-89.505272,2.137983,-394.579803,-1921.214355,41.285404,-1417.849609,-1906.436157,43.379436,388.145721,-3223.040039,62.424385,-2219.913574,-3222.582275,56.645943
23,0,-1011.941284,1561.887329,-18.746433,-1435.447998,-132.029327,13.072011,-364.484802,-141.959259,7.523757,1791.320557,-171.709366,13.873078,-3909.426758,-89.550735,2.131363,-394.583954,-1921.209229,41.296486,-1417.848755,-1906.446045,43.382675,388.169006,-3223.076172,62.410305,-2219.898682,-3222.635742,56.649445
24,0,-1011.896362,1561.520874,-18.627121,-1435.384888,-132.011993,13.112962,-364.785248,-141.856384,7.558116,1791.232666,-171.730225,13.935877,-3909.561035,-89.565125,2.078967,-394.579529,-1921.217773,41.300900,-1417.848755,-1906.449219,43.399227,388.190826,-3223.072998,62.425053,-2219.912842,-3222.455322,56.686043
25,0,-1011.910889,1561.739990,-18.623857,-1435.391357,-131.961670,13.114392,-364.628357,-141.957077,7.468364,1791.371582,-171.704254,13.891231,-3909.414307,-89.558441,2.147768,-394.591705,-1921.251709,41.291794,-1417.859009,-1906.438354,43.393280,388.231323,-3223.054199,62.431145,-2219.881348,-3222.515381,56.681725
26,0,-1011.861084,1561.547852,-18.515598,-1435.453369,-132.009949,13.131534,-364.251068,-142.109055,7.253843,1791.339600,-171.732544,13.888317,-3909.367188,-89.568382,2.130572,-394.595673,-1921.241699,41.290512,-1417.860474,-1906.442139,43.394489,388.205139,-3223.046875,62.444843,-2219.860596,-3222.529297,56.711731
27,0,-1011.857483,1561.723511,-18.548563,-1435.436035,-132.013031,13.102851,-364.504791,-141.983383,7.574702,1791.287964,-171.728867,13.917768,-3909.430664,-89.572220,2.117911,-394.590210,-1921.232910,41.304474,-1417.848389,-1906.437866,43.416882,388.195709,-3223.040527,62.473545,-2219.923584,-3222.535400,56.681099
