Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-174.360825,-4479.973145,1482.900391,-180.278625,-4541.940430,1482.045654,-187.976425,-4618.230957,1481.313599
2,0,-174.400085,-4479.954590,1482.882690,-180.306534,-4541.928711,1482.030029,-187.978012,-4618.231445,1481.315186
3,0,-174.372086,-4479.945801,1482.886353,-180.309448,-4541.912598,1482.056885,-187.962296,-4618.224609,1481.315186
4,0,-174.394516,-4479.952637,1482.863037,-180.327103,-4541.918945,1482.042480,-187.964935,-4618.225098,1481.313232
5,0,-174.408600,-4480.000977,1482.853027,-180.330597,-4541.952148,1482.028198,-187.981201,-4618.233398,1481.298584
6,0,-174.419189,-4480.036621,1482.847778,-180.313263,-4541.942871,1481.997070,-187.970505,-4618.236816,1481.273193
7,0,-174.423767,-4480.038086,1482.843018,-180.363022,-4541.972168,1481.989258,-187.972565,-4618.269043,1481.280518
8,0,-174.392288,-4480.016602,1482.855225,-180.353958,-4541.968750,1481.993286,-187.984329,-4618.273438,1481.275513
9,0,-174.396790,-4479.987305,1482.864624,-180.333191,-4541.972168,1482.007446,-188.011642,-4618.252930,1481.268799
10,0,-174.399231,-4479.980957,1482.881104,-180.366013,-4541.944824,1482.041504,-188.021729,-4618.248535,1481.291016
11,0,-174.424026,-4479.958008,1482.875366,-180.353455,-4541.940918,1482.054321,-188.051102,-4618.225098,1481.278442
12,0,-174.406754,-4479.952637,1482.888184,-180.361847,-4541.945312,1482.052124,-188.053040,-4618.228027,1481.292603
13,0,-174.388947,-4479.978027,1482.886963,-180.311127,-4541.928223,1482.059326,-188.062302,-4618.231934,1481.289795
14,0,-174.370987,-4479.980469,1482.861572,-180.335770,-4541.971680,1482.028076,-188.056427,-4618.269531,1481.252075
15,0,-174.366287,-4480.009277,1482.868774,-180.339172,-4541.963379,1482.014404,-188.034164,-4618.292969,1481.253052
16,0,-174.389267,-4480.016602,1482.850586,-180.361801,-4541.973633,1481.998535,-188.025833,-4618.289551,1481.259155
17,0,-174.457214,-4480.000977,1482.853882,-180.382416,-4541.974121,1482.023804,-188.065811,-4618.267090,1481.278809
18,0,-174.463348,-4480.003418,1482.834473,-180.406158,-4541.948242,1482.006348,-188.059509,-4618.262207,1481.277466
19,0,-174.481430,-4479.978516,1482.830322,-180.427628,-4541.956543,1481.990601,-188.091843,-4618.245117,1481.260132
20,0,-174.477722,-4479.977539,1482.837402,-180.432983,-4541.959961,1481.988770,-188.118378,-4618.252441,1481.244507
21,0,-174.477661,-4479.976562,1482.832764,-180.409775,-4541.950684,1482.005371,-188.083450,-4618.270508,1481.259888
22,0,-174.472626,-4480.005859,1482.841064,-180.418228,-4541.996582,1482.007324,-188.062103,-4618.295410,1481.274292
23,0,-174.437393,-4480.002930,1482.829712,-180.360840,-4541.972656,1481.998657,-188.040665,-4618.295410,1481.253174
24,0,-174.389938,-4480.017090,1482.851318,-180.318634,-4541.983887,1482.015503,-188.030426,-4618.291504,1481.255371
25,0,-174.367371,-4479.978516,1482.882812,-180.315109,-4541.952148,1482.030518,-188.021774,-4618.286621,1481.265015
26,0,-174.365677,-4479.970703,1482.909058,-180.303680,-4541.941895,1482.070435,-188.028076,-4618.256348,1481.264526
27,0,-174.432434,-4479.974121,1482.880615,-180.330322,-4541.921875,1482.066772,-188.030853,-4618.250000,1481.302246
28,0,-174.412354,-4479.955078,1482.882812,-180.329376,-4541.920898,1482.066895,-188.058960,-4618.228027,1481.298462
29,0,-174.432663,-4479.962891,1482.871948,-180.329376,-4541.920898,1482.066895,-188.049408,-4618.256348,1481.288208
30,0,-174.411041,-4479.993164,1482.848389,-180.378250,-4541.981934,1482.037842,-188.050095,-4618.296875,1481.248413
31,0,-174.406769,-4480.021973,1482.837280,-180.356033,-4542.009766,1482.004883,-188.022629,-4618.319336,1481.257202
32,0,-174.427597,-4480.029297,1482.820557,-180.375443,-4542.018066,1481.984375,-188.033768,-4618.326172,1481.244507
33,0,-174.447784,-4480.047852,1482.817261,-180.395065,-4542.022461,1481.968872,-188.054489,-4618.302246,1481.240234
34,0,-174.493454,-4480.025391,1482.822510,-180.410675,-4541.983887,1481.991943,-188.090012,-4618.277832,1481.263794
35,0,-174.492630,-4479.993652,1482.837769,-180.429047,-4541.968262,1482.003052,-188.085526,-4618.275391,1481.259277
36,0,-174.492630,-4479.993652,1482.837769,-180.411346,-4541.951660,1482.004883,-188.092209,-4618.243652,1481.270630
37,0,-174.457382,-4479.983398,1482.862061,-180.410065,-4541.961914,1482.018188,-188.076340,-4618.269531,1481.272827
38,0,-174.409332,-4479.985840,1482.875488,-180.346176,-4541.959473,1482.039429,-188.053986,-4618.298828,1481.249512
39,0,-174.373947,-4479.969238,1482.860718,-180.320938,-4541.999512,1482.028564,-188.014618,-4618.316406,1481.267456
