Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-3564.390869,-3585.318359,1767.483765,-3628.344238,-3584.835938,1767.876587,-3705.054932,-3578.345459,1769.193970
2,0,-3564.463135,-3585.517334,1767.496948,-3628.350830,-3584.840576,1767.848145,-3704.984131,-3578.148438,1769.251221
3,0,-3564.488770,-3585.732910,1767.479980,-3628.350830,-3584.840576,1767.848145,-3704.945557,-3578.052002,1769.257446
4,0,-3564.465576,-3585.514648,1767.470825,-3628.399170,-3584.868896,1767.846191,-3705.030029,-3578.173340,1769.216797
5,0,-3564.526123,-3585.663330,1767.435547,-3628.389160,-3584.869141,1767.848877,-3705.122314,-3578.410645,1769.180664
6,0,-3564.494629,-3585.440186,1767.485840,-3628.310791,-3584.771484,1767.881714,-3705.144043,-3578.476074,1769.188354
7,0,-3564.403564,-3585.270752,1767.501465,-3628.331299,-3584.867920,1767.877808,-3705.113525,-3578.497314,1769.157104
8,0,-3564.377686,-3585.274902,1767.501831,-3628.299072,-3584.771973,1767.884399,-3705.086670,-3578.434082,1769.101440
9,0,-3564.427246,-3585.477539,1767.484741,-3628.271240,-3584.840088,1767.881714,-3705.038330,-3578.306396,1769.141602
10,0,-3564.342041,-3585.324951,1767.493164,-3628.269287,-3584.844727,1767.855957,-3704.917480,-3578.002441,1769.179077
11,0,-3564.423828,-3585.467285,1767.488770,-3628.297119,-3584.842041,1767.860718,-3704.935791,-3578.059570,1769.178467
12,0,-3564.370850,-3585.245850,1767.486328,-3628.262695,-3584.840332,1767.883545,-3704.986084,-3578.100342,1769.157593
13,0,-3564.416260,-3585.435547,1767.493042,-3628.306396,-3584.868896,1767.883179,-3705.076660,-3578.282715,1769.094238
14,0,-3564.451660,-3585.388428,1767.528931,-3628.305176,-3584.868896,1767.883423,-3705.125000,-3578.421875,1769.095581
