Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-1516.353271,-4505.109375,1144.266235,-1517.926392,-4566.833984,1143.500244,-1518.867554,-4643.900879,1140.635132
2,0,-1516.315063,-4505.127441,1144.235474,-1517.914795,-4566.831055,1143.520508,-1518.842285,-4643.873535,1140.674072
3,0,-1516.283325,-4505.135742,1144.249390,-1517.866821,-4566.816406,1143.517456,-1518.798462,-4643.870117,1140.717651
4,0,-1516.266846,-4505.111816,1144.235107,-1517.813232,-4566.826660,1143.540161,-1518.770508,-4643.876953,1140.700073
5,0,-1516.265625,-4505.104004,1144.271729,-1517.819214,-4566.791992,1143.540771,-1518.774658,-4643.875000,1140.692627
6,0,-1516.239868,-4505.116699,1144.247925,-1517.798462,-4566.834961,1143.521606,-1518.764404,-4643.873047,1140.700928
7,0,-1516.284546,-4505.102539,1144.250488,-1517.825073,-4566.829102,1143.502686,-1518.805542,-4643.869629,1140.686646
8,0,-1516.287109,-4505.101562,1144.253174,-1517.877563,-4566.810059,1143.503052,-1518.829834,-4643.867188,1140.674194
9,0,-1516.332520,-4505.119141,1144.247559,-1517.891113,-4566.843750,1143.471924,-1518.863403,-4643.868652,1140.639038
10,0,-1516.309326,-4505.130859,1144.231079,-1517.941772,-4566.833984,1143.436768,-1518.903687,-4643.882812,1140.634399
11,0,-1516.316040,-4505.135742,1144.201538,-1517.920654,-4566.844727,1143.413696,-1518.924316,-4643.880371,1140.620361
12,0,-1516.324219,-4505.131836,1144.204346,-1517.942139,-4566.842773,1143.395630,-1518.957153,-4643.856445,1140.606567
13,0,-1516.290283,-4505.148926,1144.182861,-1517.917603,-4566.855469,1143.367310,-1518.990234,-4643.841309,1140.637695
14,0,-1516.290649,-4505.147949,1144.182861,-1517.910767,-4566.882324,1143.407959,-1518.938965,-4643.852051,1140.639648
15,0,-1516.289185,-4505.140625,1144.219727,-1517.914551,-4566.847656,1143.392700,-1518.925659,-4643.850098,1140.653931
16,0,-1516.299561,-4505.103516,1144.228516,-1517.906982,-4566.802734,1143.459839,-1518.907227,-4643.828125,1140.671265
17,0,-1516.272339,-4505.140625,1144.239014,-1517.887451,-4566.804688,1143.491821,-1518.894287,-4643.827148,1140.690552
18,0,-1516.294556,-4505.097656,1144.258545,-1517.891113,-4566.793457,1143.516479,-1518.860474,-4643.828125,1140.694458
19,0,-1516.276978,-4505.098145,1144.274780,-1517.861450,-4566.801270,1143.539307,-1518.852295,-4643.821777,1140.720459
20,0,-1516.288452,-4505.100586,1144.247925,-1517.832153,-4566.816895,1143.519653,-1518.834473,-4643.828613,1140.710327
21,0,-1516.281006,-4505.104492,1144.241821,-1517.848877,-4566.816406,1143.493408,-1518.858398,-4643.827148,1140.701172
22,0,-1516.285522,-4505.102051,1144.247681,-1517.885254,-4566.805664,1143.488037,-1518.875854,-4643.828125,1140.688232
