Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1020.384644,-4536.486816,883.237305,1014.280457,-4598.490234,879.917053,1006.138550,-4674.407715,877.105591
2,0,1020.351501,-4536.435547,883.187195,1014.287109,-4598.492676,879.887146,1006.138550,-4674.407715,877.105591
3,0,1020.369263,-4536.499512,883.178772,1014.237061,-4598.486816,879.897949,1006.138550,-4674.407715,877.105591
4,0,1020.343201,-4536.433594,883.221252,1014.246826,-4598.558105,879.859985,1006.121033,-4674.342773,877.113953
5,0,1020.361084,-4536.505859,883.148193,1014.280457,-4598.499512,879.857361,1006.124268,-4674.411133,877.111023
6,0,1020.360718,-4536.505859,883.147217,1014.290833,-4598.493652,879.887207,1006.117920,-4674.349121,877.086487
7,0,1020.359375,-4536.505371,883.143433,1014.276245,-4598.498047,879.887573,1006.127808,-4674.343262,877.117676
8,0,1020.343445,-4536.442383,883.156799,1014.291870,-4598.493164,879.885437,1006.130005,-4674.343262,877.119263
9,0,1020.357483,-4536.428223,883.211609,1014.282471,-4598.422363,879.924622,1006.131287,-4674.343750,877.119446
10,0,1020.356873,-4536.428223,883.210266,1014.291870,-4598.424316,879.889587,1006.132141,-4674.343750,877.121521
11,0,1020.363586,-4536.421875,883.236755,1014.292603,-4598.416504,879.952209,1006.141785,-4674.336426,877.152771
12,0,1020.372986,-4536.491211,883.196594,1014.273987,-4598.351562,879.959290,1006.137390,-4674.334961,877.184692
13,0,1020.364258,-4536.489258,883.227539,1014.261108,-4598.347168,880.023987,1006.146545,-4674.336914,877.152283
14,0,1020.367249,-4536.558594,883.219299,1014.278076,-4598.420898,879.956421,1006.130310,-4674.332031,877.221069
15,0,1020.351318,-4536.494629,883.233948,1014.278870,-4598.420898,879.954590,1006.139526,-4674.334961,877.187073
16,0,1020.351501,-4536.503418,883.171631,1014.271362,-4598.428223,879.926697,1006.150146,-4674.407227,877.147888
17,0,1020.360352,-4536.505371,883.145020,1014.281616,-4598.499023,879.887878,1006.150940,-4674.407227,877.149231
18,0,1020.358093,-4536.504883,883.138977,1014.291138,-4598.493164,879.917419,1006.155151,-4674.408203,877.115051
19,0,1020.360474,-4536.505859,883.145874,1014.313599,-4598.558105,879.875000,1006.137146,-4674.343750,877.123840
20,0,1020.364502,-4536.497559,883.165039,1014.260193,-4598.552246,879.887756,1006.157043,-4674.408691,877.113525
21,0,1020.374207,-4536.560059,883.187317,1014.296875,-4598.495117,879.886230,1006.150696,-4674.416016,877.081726
22,0,1020.313354,-4536.540039,883.189880,1014.287964,-4598.493164,879.920288,1006.140137,-4674.412598,877.118835
23,0,1020.348694,-4536.493652,883.226807,1014.273193,-4598.428711,879.927002,1006.149292,-4674.406738,877.148987
24,0,1020.358459,-4536.496094,883.198608,1014.271240,-4598.427734,879.926453,1006.192810,-4674.426270,877.086670
25,0,1020.358826,-4536.496094,883.199463,1014.271851,-4598.428223,879.926636,1006.200073,-4674.420898,877.105469
26,0,1020.347473,-4536.434082,883.176208,1014.268372,-4598.427246,879.926208,1006.209106,-4674.492188,877.064026
27,0,1020.358948,-4536.505371,883.141724,1014.276367,-4598.429688,879.896057,1006.178406,-4674.551758,877.042358
28,0,1020.356445,-4536.504395,883.134705,1014.221069,-4598.431152,879.875061,1006.154663,-4674.487305,877.040100
29,0,1020.340820,-4536.441406,883.149353,1014.234070,-4598.494141,879.866272,1006.159302,-4674.486328,877.056641
30,0,1020.347229,-4536.434082,883.175293,1014.226318,-4598.424316,879.907593,1006.182068,-4674.552734,877.038025
31,0,1020.359863,-4536.505371,883.143921,1014.271851,-4598.428223,879.926636,1006.175781,-4674.551270,877.041321
32,0,1020.359253,-4536.505371,883.142761,1014.269470,-4598.426270,879.924438,1006.166321,-4674.480469,877.078613
33,0,1020.365723,-4536.498047,883.168579,1014.289978,-4598.492676,879.917297,1006.222229,-4674.486816,877.067749
34,0,1020.356323,-4536.428223,883.208374,1014.282227,-4598.421875,879.922729,1006.211060,-4674.437500,877.069153
35,0,1020.369873,-4536.423340,883.204102,1014.309631,-4598.480469,879.944336,1006.159302,-4674.408691,877.117249
36,0,1020.363220,-4536.429688,883.178345,1014.285583,-4598.422852,879.922791,1006.164795,-4674.401855,877.147949
