Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1948.736816,-2393.326904,1297.306519,2010.213867,-2398.073242,1287.486816,2085.259033,-2404.168457,1276.647705
2,0,1948.730957,-2393.333740,1297.264893,2010.209106,-2398.057129,1287.462158,2085.227051,-2404.126221,1276.633301
3,0,1948.730957,-2393.333740,1297.264893,2010.207397,-2398.063965,1287.467651,2085.256592,-2404.182861,1276.614136
4,0,1948.728760,-2393.332520,1297.247192,2010.205933,-2398.084229,1287.444336,2085.255127,-2404.197266,1276.589478
5,0,1948.730957,-2393.337158,1297.243164,2010.204834,-2398.088135,1287.440552,2085.229248,-2404.156006,1276.600708
6,0,1948.735596,-2393.337158,1297.255005,2010.198608,-2398.088867,1287.413208,2085.231934,-2404.157227,1276.603760
7,0,1948.736572,-2393.336914,1297.256836,2010.190308,-2398.062256,1287.382690,2085.203857,-2404.101562,1276.618774
8,0,1948.748535,-2393.343506,1297.237061,2010.190430,-2398.068604,1287.380737,2085.205566,-2404.093262,1276.623047
9,0,1948.743042,-2393.335938,1297.234619,2010.190674,-2398.076660,1287.375977,2085.209229,-2404.099121,1276.626343
10,0,1948.753784,-2393.348145,1297.239990,2010.182861,-2398.072266,1287.387817,2085.185303,-2404.059082,1276.660034
11,0,1948.752808,-2393.362061,1297.251465,2010.180664,-2398.093506,1287.378296,2085.186279,-2404.070801,1276.659180
12,0,1948.756104,-2393.360107,1297.267944,2010.200073,-2398.134277,1287.401733,2085.218018,-2404.122314,1276.653320
13,0,1948.753540,-2393.348389,1297.278687,2010.179077,-2398.103027,1287.403076,2085.220459,-2404.125732,1276.657837
14,0,1948.826904,-2393.346680,1297.274048,2010.181641,-2398.067871,1287.427368,2085.225098,-2404.114990,1276.671997
15,0,1948.826782,-2393.347412,1297.273804,2010.179077,-2398.078125,1287.408325,2085.321045,-2404.149902,1276.654419
16,0,1948.752441,-2393.347412,1297.277954,2010.175903,-2398.077637,1287.408447,2085.253418,-2404.152100,1276.665039
17,0,1948.751465,-2393.343750,1297.278564,2010.178345,-2398.075928,1287.413208,2085.253906,-2404.159424,1276.664551
