Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1051.769897,-4488.114746,1544.876221,1053.317749,-4550.371094,1550.378784,1054.040283,-4626.411621,1558.048218
2,0,1051.760132,-4488.112305,1544.860962,1053.313354,-4550.363770,1550.411377,1053.993408,-4626.399414,1558.085327
3,0,1051.749268,-4488.108887,1544.876221,1053.292480,-4550.357422,1550.412354,1054.044922,-4626.414062,1558.021973
4,0,1051.733154,-4488.104492,1544.878662,1053.259033,-4550.353027,1550.393066,1054.040283,-4626.411621,1558.048218
5,0,1051.730591,-4488.124023,1544.762695,1053.271973,-4550.419922,1550.361572,1054.058472,-4626.475098,1558.017334
6,0,1051.738037,-4488.133301,1544.703979,1053.320801,-4550.491211,1550.328247,1054.040283,-4626.414062,1558.020142
7,0,1051.753662,-4488.137207,1544.722778,1053.332275,-4550.446289,1550.281372,1053.980835,-4626.412598,1557.997925
8,0,1051.760376,-4488.147461,1544.659546,1053.326782,-4550.443848,1550.302979,1053.975708,-4626.411621,1557.995361
9,0,1051.761230,-4488.209961,1544.628052,1053.337036,-4550.509277,1550.275391,1054.021362,-4626.414062,1558.012817
10,0,1051.760010,-4488.270996,1544.612549,1053.344360,-4550.511719,1550.275879,1054.024170,-4626.416992,1557.984741
11,0,1051.786865,-4488.335938,1544.602661,1053.336182,-4550.509277,1550.275146,1054.017334,-4626.414062,1558.011353
12,0,1051.720215,-4488.333008,1544.568237,1053.325317,-4550.505859,1550.294678,1053.966675,-4626.400391,1558.047729
13,0,1051.804565,-4488.399414,1544.573364,1053.322388,-4550.504883,1550.283936,1054.029297,-4626.466309,1558.063354
14,0,1051.793457,-4488.397461,1544.564453,1053.331665,-4550.507812,1550.274292,1054.033081,-4626.469727,1558.034058
15,0,1051.811157,-4488.318359,1544.708008,1053.330322,-4550.507324,1550.280518,1054.035156,-4626.469727,1558.035767
16,0,1051.817505,-4488.327637,1544.649292,1053.371094,-4550.513672,1550.292969,1054.029297,-4626.412109,1558.013184
17,0,1051.824707,-4488.253418,1544.755249,1053.365967,-4550.511719,1550.294067,1054.041748,-4626.472656,1558.007324
18,0,1051.753662,-4488.243164,1544.754517,1053.366455,-4550.513184,1550.272949,1054.040894,-4626.473145,1558.007568
19,0,1051.810425,-4488.200684,1544.710938,1053.325806,-4550.437500,1550.333374,1053.985107,-4626.466309,1558.016479
20,0,1051.797241,-4488.196777,1544.712524,1053.305786,-4550.437500,1550.321411,1054.018555,-4626.410645,1558.007324
21,0,1051.758057,-4488.133301,1544.732300,1053.325806,-4550.442871,1550.318115,1054.031494,-4626.468262,1558.032837
22,0,1051.763306,-4488.134277,1544.739014,1053.325928,-4550.442871,1550.321655,1054.028076,-4626.466797,1558.030029
23,0,1051.765381,-4488.197266,1544.700928,1053.332153,-4550.500977,1550.321045,1054.035889,-4626.469238,1558.035645
24,0,1051.765503,-4488.128906,1544.769043,1053.344971,-4550.448730,1550.311523,1054.036255,-4626.469727,1558.036377
25,0,1051.751465,-4488.129883,1544.769043,1053.351074,-4550.449707,1550.330688,1054.030029,-4626.468750,1558.033203
26,0,1051.757690,-4488.140625,1544.697876,1053.355957,-4550.452148,1550.310303,1054.031128,-4626.467773,1558.032104
27,0,1051.936401,-4488.262695,1544.410889,1053.327515,-4550.443848,1550.316528,1054.032471,-4626.469238,1558.035034
28,0,1051.781372,-4488.275879,1544.573364,1053.332642,-4550.501465,1550.314209,1054.030640,-4626.469238,1558.034180
29,0,1051.791992,-4488.271484,1544.611206,1053.317383,-4550.440918,1550.323608,1054.032959,-4626.469238,1558.034668
30,0,1051.820923,-4488.267090,1544.649414,1053.335449,-4550.495605,1550.336792,1054.035889,-4626.471680,1558.003906
31,0,1051.821411,-4488.317383,1544.697144,1053.311401,-4550.425781,1550.365479,1054.040039,-4626.464844,1558.065918
32,0,1051.841431,-4488.393066,1544.598022,1053.319336,-4550.428223,1550.361694,1054.047852,-4626.469238,1558.038330
33,0,1051.840332,-4488.314941,1544.718018,1053.279541,-4550.360352,1550.369629,1054.045776,-4626.468750,1558.036987
34,0,1051.854126,-4488.375000,1544.723389,1053.295532,-4550.365234,1550.364990,1054.040283,-4626.473145,1558.007446
35,0,1051.843994,-4488.371582,1544.752686,1053.295166,-4550.420410,1550.380005,1054.018188,-4626.408203,1558.039429
36,0,1051.876831,-4488.507324,1544.676636,1053.296265,-4550.427246,1550.355835,1054.037231,-4626.469727,1558.036621
37,0,1051.850830,-4488.499512,1544.692017,1053.305664,-4550.430176,1550.348633,1054.036133,-4626.470215,1558.037231
38,0,1051.837524,-4488.578125,1544.554565,1053.297974,-4550.434570,1550.325317,1054.041870,-4626.471191,1558.039551
39,0,1051.858398,-4488.590820,1544.516724,1053.315063,-4550.503418,1550.282593,1054.014648,-4626.407227,1558.036743
40,0,1051.875977,-4488.652832,1544.492798,1053.337280,-4550.509766,1550.270752,1054.035645,-4626.470703,1558.037354
