Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-1493.585938,-4477.594238,1550.679321,-1493.534424,-4539.798828,1552.056396,-1493.120361,-4616.580566,1553.706543
2,0,-1493.584839,-4477.594238,1550.677856,-1493.567749,-4539.788086,1552.085938,-1493.149414,-4616.554199,1553.714355
3,0,-1493.588379,-4477.586914,1550.717407,-1493.549927,-4539.808105,1552.099487,-1493.103027,-4616.562012,1553.721680
4,0,-1493.507690,-4477.592285,1550.737305,-1493.549194,-4539.788086,1552.101685,-1493.084473,-4616.561523,1553.736816
5,0,-1493.470947,-4477.597656,1550.728027,-1493.550049,-4539.747559,1552.114746,-1493.077759,-4616.563477,1553.751953
6,0,-1493.459351,-4477.604492,1550.725830,-1493.528931,-4539.773926,1552.102539,-1493.036133,-4616.592773,1553.759277
7,0,-1493.406860,-4477.591309,1550.711548,-1493.497559,-4539.758301,1552.114624,-1493.048462,-4616.589844,1553.758911
8,0,-1493.412109,-4477.589844,1550.713501,-1493.507812,-4539.756348,1552.116089,-1493.064941,-4616.582031,1553.782349
9,0,-1493.396606,-4477.611328,1550.712036,-1493.522461,-4539.740723,1552.083984,-1493.115723,-4616.575684,1553.793945
10,0,-1493.424561,-4477.586426,1550.717651,-1493.557617,-4539.761719,1552.084595,-1493.143921,-4616.578613,1553.778198
11,0,-1493.471802,-4477.604004,1550.737793,-1493.579834,-4539.772461,1552.085938,-1493.144775,-4616.581543,1553.778320
12,0,-1493.523071,-4477.580078,1550.725952,-1493.589844,-4539.799316,1552.083130,-1493.152466,-4616.583984,1553.754517
13,0,-1493.548218,-4477.583984,1550.690552,-1493.612915,-4539.816895,1552.044312,-1493.173950,-4616.585449,1553.719604
14,0,-1493.619141,-4477.598633,1550.713257,-1493.636963,-4539.816895,1552.025513,-1493.212402,-4616.577637,1553.746704
15,0,-1493.603760,-4477.606934,1550.689697,-1493.633667,-4539.800293,1552.050171,-1493.202026,-4616.581055,1553.746460
16,0,-1493.583374,-4477.600586,1550.703979,-1493.601929,-4539.825195,1552.041870,-1493.206665,-4616.580078,1553.746582
17,0,-1493.556152,-4477.589844,1550.734375,-1493.582520,-4539.825195,1552.058350,-1493.176025,-4616.584961,1553.762451
18,0,-1493.515381,-4477.588867,1550.765259,-1493.600586,-4539.815918,1552.058350,-1493.169922,-4616.580566,1553.779053
19,0,-1493.512085,-4477.589844,1550.763794,-1493.547729,-4539.825195,1552.086670,-1493.160156,-4616.581543,1553.778687
20,0,-1493.459106,-4477.607910,1550.755005,-1493.618164,-4539.765137,1552.101807,-1493.142578,-4616.581055,1553.794922
21,0,-1493.449707,-4477.608887,1550.751099,-1493.554932,-4539.779785,1552.110474,-1493.108276,-4616.600586,1553.801514
22,0,-1493.454712,-4477.603027,1550.749634,-1493.560669,-4539.777832,1552.087158,-1493.095581,-4616.606934,1553.801514
23,0,-1493.471191,-4477.603516,1550.733398,-1493.561279,-4539.799805,1552.067871,-1493.126587,-4616.601562,1553.785400
