Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-1385.837402,1799.800781,1552.932129,-1387.965576,1862.060669,1556.948486,-1387.853638,1937.785156,1561.901489
2,0,-1385.781372,1799.802002,1552.922241,-1387.965576,1862.060669,1556.948486,-1387.822632,1937.774536,1561.871460
3,0,-1381.571411,1798.558350,1553.816406,-1387.965576,1862.060669,1556.948486,-1387.822632,1937.774536,1561.871460
4,0,-1386.185547,1799.792358,1553.053223,-1387.984375,1862.041382,1556.953003,-1387.822632,1937.774536,1561.871460
5,0,-1386.188232,1799.817627,1553.067383,-1387.974243,1862.057251,1556.954834,-1387.656372,1937.739014,1561.904907
6,0,-1386.184814,1799.819458,1553.068359,-1387.958618,1862.065186,1556.956909,-1387.687988,1937.748657,1561.941406
7,0,-1386.218506,1799.805542,1553.076294,-1387.967773,1862.061646,1556.963135,-1387.688721,1937.747681,1561.946899
8,0,-1386.252686,1799.800781,1553.071045,-1388.009277,1862.048706,1556.947754,-1387.856445,1937.781494,1561.924805
9,0,-1386.241211,1799.785278,1553.073120,-1388.024536,1862.045410,1556.964966,-1387.856934,1937.780884,1561.928589
10,0,-1386.248291,1799.783081,1553.077148,-1388.031372,1862.042847,1556.969727,-1387.826294,1937.769897,1561.901001
11,0,-1386.269531,1799.777832,1553.093994,-1388.037720,1862.040771,1556.974365,-1387.826782,1937.769287,1561.904907
12,0,-1386.137085,1799.789062,1553.052979,-1388.025024,1862.046997,1556.976562,-1387.790039,1937.813599,1561.909668
13,0,-1386.258423,1799.817871,1553.093140,-1388.042236,1862.042603,1556.992676,-1387.822144,1937.822876,1561.948853
14,0,-1386.318481,1799.780273,1553.141724,-1388.034424,1862.042725,1557.015259,-1387.822876,1937.822266,1561.953125
15,0,-1386.070923,1799.799072,1553.072876,-1388.054199,1862.033691,1557.017822,-1387.989502,1937.857178,1561.923462
16,0,-1386.297485,1799.793701,1553.112915,-1388.053345,1862.034424,1557.018555,-1387.989746,1937.856812,1561.925415
17,0,-1386.295288,1799.794556,1553.112305,-1388.051880,1862.034912,1557.017334,-1388.021118,1937.866211,1561.903687
18,0,-1385.929321,1799.802002,1553.093994,-1388.015625,1862.035034,1557.008667,-1387.989502,1937.857178,1561.923462
19,0,-1386.060303,1799.767212,1553.046509,-1388.037109,1862.032715,1557.028687,-1387.989624,1937.856934,1561.924438
20,0,-1382.790771,1799.029053,1553.866821,-1388.033936,1862.034302,1557.029053,-1387.989624,1937.856934,1561.924438
