Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1938.523438,-3651.761230,1300.885620,2000.745483,-3653.652832,1303.381226,2077.171387,-3654.495605,1306.250610
2,0,1938.528442,-3651.782227,1300.927368,2000.745483,-3653.652832,1303.381226,2077.146240,-3654.440186,1306.296875
3,0,1938.547119,-3651.803711,1300.922119,2000.745483,-3653.652832,1303.381226,2077.119141,-3654.392578,1306.303589
4,0,1938.521484,-3651.757324,1300.928955,2000.738159,-3653.628174,1303.382812,2077.146240,-3654.440186,1306.296875
5,0,1938.551880,-3651.800537,1300.951538,2000.735962,-3653.625977,1303.380615,2077.138672,-3654.414062,1306.299561
6,0,1938.529053,-3651.755371,1300.961426,2000.733154,-3653.623779,1303.378174,2077.136475,-3654.425293,1306.338623
7,0,1938.532104,-3651.756104,1300.970459,2000.739380,-3653.623047,1303.413452,2077.119385,-3654.383545,1306.378784
8,0,1938.536133,-3651.755127,1300.987183,2000.739624,-3653.645752,1303.385986,2077.119385,-3654.373047,1306.359009
9,0,1938.511597,-3651.708740,1300.999268,2000.737183,-3653.644043,1303.381470,2077.116455,-3654.370361,1306.354248
10,0,1938.516235,-3651.710449,1301.026978,2000.772217,-3653.640381,1303.404175,2077.097412,-3654.333740,1306.363770
11,0,1938.491699,-3651.664551,1301.037231,2000.758179,-3653.609375,1303.401123,2077.137939,-3654.406250,1306.352173
12,0,1938.473267,-3651.713379,1301.010254,2000.723633,-3653.616699,1303.412231,2077.086914,-3654.378662,1306.352295
13,0,1938.517334,-3651.714600,1300.995605,2000.724976,-3653.615723,1303.385986,2077.145996,-3654.426514,1306.283203
14,0,1938.512085,-3651.717529,1300.954834,2000.725220,-3653.614502,1303.379028,2077.131104,-3654.401123,1306.281616
15,0,1938.529175,-3651.729980,1300.971802,2000.722900,-3653.612549,1303.370361,2077.106934,-3654.440430,1306.295288
16,0,1938.524536,-3651.741699,1300.985229,2000.762451,-3653.630127,1303.351685,2077.143311,-3654.439697,1306.317261
17,0,1938.520386,-3651.717285,1301.017822,2000.725464,-3653.635010,1303.361938,2077.136475,-3654.424805,1306.274902
18,0,1938.519409,-3651.717285,1300.995117,2000.719360,-3653.608643,1303.359009,2077.123535,-3654.405762,1306.314575
19,0,1938.545532,-3651.764160,1300.987427,2000.719604,-3653.610352,1303.363281,2077.136230,-3654.408203,1306.293945
20,0,1938.547241,-3651.760254,1301.004517,2000.717407,-3653.612305,1303.389038,2077.110107,-3654.352783,1306.329956
21,0,1938.596313,-3651.854004,1301.006470,2000.735474,-3653.624756,1303.404785,2077.086914,-3654.389160,1306.319214
22,0,1938.602539,-3651.855469,1300.986450,2000.732178,-3653.620850,1303.402100,2077.147461,-3654.428467,1306.280762
23,0,1938.573730,-3651.807129,1301.003052,2000.724121,-3653.610352,1303.337402,2077.153320,-3654.460449,1306.246338
24,0,1938.571533,-3651.810791,1300.975464,2000.726929,-3653.634766,1303.355103,2077.164062,-3654.479248,1306.250244
25,0,1938.571167,-3651.832764,1300.958618,2000.690186,-3653.638916,1303.366089,2077.177490,-3654.502197,1306.245850
26,0,1938.590820,-3651.853760,1300.954468,2000.684082,-3653.612793,1303.340820,2077.167969,-3654.478516,1306.230957
27,0,1938.592529,-3651.860352,1300.918945,2000.764404,-3653.684082,1303.368042,2077.140869,-3654.500000,1306.247681
28,0,1938.594971,-3651.862793,1300.919189,2000.765991,-3653.688721,1303.369263,2077.209717,-3654.557861,1306.254395
29,0,1938.579224,-3651.849609,1300.893555,2000.772461,-3653.701416,1303.403442,2077.223389,-3654.560059,1306.259399
30,0,1938.580444,-3651.850830,1300.897949,2000.778442,-3653.720215,1303.407349,2077.222656,-3654.580566,1306.280884
31,0,1938.564819,-3651.919678,1300.929321,2000.821533,-3653.720459,1303.379517,2077.211182,-3654.565674,1306.269775
32,0,1938.670532,-3651.936768,1300.874756,2000.782715,-3653.721436,1303.387085,2077.182373,-3654.516846,1306.274902
33,0,1938.566284,-3651.897461,1300.909546,2000.768921,-3653.685303,1303.393677,2077.134766,-3654.488525,1306.297119
34,0,1938.629028,-3651.904785,1300.956787,2000.718628,-3653.611328,1303.366333,2077.119385,-3654.472656,1306.274292
35,0,1938.599365,-3651.857910,1300.956421,2000.721680,-3653.612793,1303.361084,2077.166992,-3654.470703,1306.249756
36,0,1938.573608,-3651.810059,1300.994019,2000.719360,-3653.610840,1303.360840,2077.134766,-3654.420166,1306.295898
37,0,1938.574463,-3651.806885,1301.019165,2000.713867,-3653.606689,1303.386108,2077.154785,-3654.453369,1306.330566
38,0,1938.596680,-3651.772949,1301.007812,2000.760742,-3653.631348,1303.379028,2077.147461,-3654.451172,1306.300903
39,0,1938.544434,-3651.763672,1300.979736,2000.724609,-3653.634033,1303.362549,2077.154541,-3654.455566,1306.274048
40,0,1938.569092,-3651.810547,1301.003784,2000.719971,-3653.608398,1303.374146,2077.157959,-3654.462891,1306.272705
41,0,1938.536987,-3651.760010,1300.953857,2000.719727,-3653.609131,1303.371582,2077.114990,-3654.454590,1306.303345
42,0,1938.623047,-3651.821777,1300.939331,2000.721680,-3653.609619,1303.371460,2077.119141,-3654.457031,1306.270752
43,0,1938.524048,-3651.812988,1300.953613,2000.727661,-3653.618408,1303.385498,2077.120850,-3654.477295,1306.269409
44,0,1938.542358,-3651.768555,1300.971069,2000.722656,-3653.611084,1303.375122,2077.180664,-3654.498535,1306.287842
45,0,1938.567261,-3651.813232,1300.938232,2000.735718,-3653.634277,1303.382446,2077.158447,-3654.476318,1306.286255
46,0,1938.567749,-3651.816650,1300.930542,2000.720215,-3653.611816,1303.400757,2077.166748,-3654.478027,1306.268555
47,0,1938.565430,-3651.810059,1300.941162,2000.719604,-3653.611572,1303.401001,2077.201660,-3654.537598,1306.256592
48,0,1938.572144,-3651.811035,1300.971191,2000.716919,-3653.612061,1303.389160,2077.140137,-3654.424316,1306.254395
49,0,1938.620483,-3651.798584,1300.962402,2000.720947,-3653.612793,1303.361450,2077.145752,-3654.428223,1306.277100
50,0,1938.658447,-3651.865723,1300.997314,2000.721436,-3653.612793,1303.363647,2077.120117,-3654.379150,1306.297485
51,0,1938.576172,-3651.808105,1300.998413,2000.722900,-3653.613770,1303.338867,2077.145752,-3654.431885,1306.262573
52,0,1938.593140,-3651.819824,1301.019897,2000.722900,-3653.610596,1303.337280,2077.167480,-3654.472656,1306.248657
53,0,1938.601807,-3651.857178,1301.002319,2000.718628,-3653.610107,1303.359497,2077.105469,-3654.454834,1306.246582
54,0,1938.560791,-3651.803955,1300.977295,2000.728638,-3653.636475,1303.359375,2077.151855,-3654.456543,1306.254272
55,0,1938.589844,-3651.854492,1300.922852,2000.763672,-3653.683105,1303.365112,2077.141357,-3654.500000,1306.249268
56,0,1938.578247,-3651.848633,1300.889282,2000.764648,-3653.686768,1303.367065,2077.203369,-3654.531006,1306.250488
57,0,1938.577393,-3651.847412,1300.872925,2000.775391,-3653.701660,1303.379028,2077.199219,-3654.526367,1306.245972
58,0,1938.601196,-3651.894775,1300.861328,2000.775146,-3653.701660,1303.381836,2077.210938,-3654.555176,1306.220459
59,0,1938.601562,-3651.895508,1300.874023,2000.775146,-3653.699219,1303.384521,2077.195557,-3654.598389,1306.231079
60,0,1938.608154,-3651.922119,1300.875488,2000.782715,-3653.721436,1303.385132,2077.201660,-3654.621826,1306.227905
61,0,1938.617920,-3651.926758,1300.888184,2000.782715,-3653.722168,1303.386841,2077.167969,-3654.556396,1306.251099
62,0,1938.599121,-3651.862793,1300.946533,2000.729370,-3653.637451,1303.359741,2077.185547,-3654.518311,1306.237549
63,0,1938.600098,-3651.857422,1300.976074,2000.718140,-3653.609863,1303.364868,2077.189453,-3654.508789,1306.254517
64,0,1938.575928,-3651.807129,1301.024292,2000.721436,-3653.612793,1303.363647,2077.128906,-3654.478516,1306.252808
65,0,1938.570557,-3651.807373,1301.027588,2000.719971,-3653.613525,1303.358276,2077.141846,-3654.424072,1306.268921
66,0,1938.595215,-3651.857666,1300.993408,2000.719116,-3653.610107,1303.361084,2077.128906,-3654.474854,1306.268555
67,0,1938.605469,-3651.882080,1300.971313,2000.721924,-3653.635498,1303.389648,2077.151611,-3654.449951,1306.325317
68,0,1938.590454,-3651.928223,1300.990356,2000.724609,-3653.635742,1303.385864,2077.128418,-3654.487061,1306.316406
69,0,1938.685669,-3651.944336,1300.931152,2000.731689,-3653.637451,1303.378418,2077.153076,-3654.457031,1306.316650
70,0,1938.614746,-3651.902588,1300.955078,2000.715698,-3653.607666,1303.393066,2077.171387,-3654.478760,1306.249023
71,0,1938.576172,-3651.849609,1300.876465,2000.720459,-3653.609375,1303.367554,2077.134521,-3654.497314,1306.282471
72,0,1938.534790,-3651.846191,1300.906494,2000.776245,-3653.700195,1303.401001,2077.175537,-3654.562012,1306.240601
73,0,1938.577393,-3651.852295,1300.867920,2000.766724,-3653.691895,1303.361328,2077.187744,-3654.583740,1306.248047
74,0,1938.587891,-3651.880859,1300.872681,2000.799927,-3653.753174,1303.348267,2077.106445,-3654.539307,1306.268311
75,0,1938.544067,-3651.878662,1300.900269,2000.800415,-3653.774170,1303.332275,2077.149170,-3654.531738,1306.229126
76,0,1938.639038,-3651.891113,1300.868774,2000.764648,-3653.701416,1303.358521,2077.109863,-3654.458008,1306.255005
77,0,1938.576538,-3651.826172,1300.919434,2000.715210,-3653.605225,1303.360718,2077.101318,-3654.433594,1306.295044
78,0,1938.583496,-3651.828369,1300.950195,2000.718872,-3653.610107,1303.364502,2077.105957,-3654.434082,1306.265625
79,0,1938.544922,-3651.763916,1300.999512,2000.721680,-3653.612793,1303.361084,2077.103027,-3654.433838,1306.270874
80,0,1938.629517,-3651.824707,1300.975098,2000.732178,-3653.620361,1303.398438,2077.089600,-3654.409668,1306.263550
81,0,1938.569336,-3651.811523,1300.974365,2000.729614,-3653.618408,1303.387207,2077.133545,-3654.475586,1306.278564
82,0,1938.601074,-3651.881836,1300.948486,2000.727417,-3653.635742,1303.361084,2077.174561,-3654.499268,1306.241577
83,0,1938.596313,-3651.882812,1300.917480,2000.725708,-3653.636963,1303.389160,2077.183838,-3654.521240,1306.268311
84,0,1938.584839,-3651.853760,1300.946045,2000.727661,-3653.636230,1303.362549,2077.212158,-3654.559814,1306.291992
85,0,1938.594238,-3651.857422,1300.932373,2000.774658,-3653.698242,1303.388184,2077.200928,-3654.530273,1306.288086
86,0,1938.577881,-3651.846191,1300.893188,2000.806763,-3653.758301,1303.327881,2077.214111,-3654.556152,1306.232788
87,0,1938.662231,-3651.906006,1300.848633,2000.804932,-3653.757812,1303.325684,2077.231201,-3654.580566,1306.248413
88,0,1938.584595,-3651.850342,1300.885010,2000.803467,-3653.754639,1303.326050,2077.212646,-3654.555908,1306.231079
89,0,1938.639038,-3651.862061,1300.856934,2000.766968,-3653.710205,1303.356567,2077.217529,-3654.566650,1306.252197
90,0,1938.591675,-3651.860107,1300.920410,2000.768921,-3653.703369,1303.372803,2077.183838,-3654.503418,1306.279175
91,0,1938.562622,-3651.808105,1300.929077,2000.723145,-3653.632080,1303.358032,2077.179688,-3654.503906,1306.251099
92,0,1938.563232,-3651.806641,1300.977173,2000.766968,-3653.682129,1303.391357,2077.176514,-3654.501953,1306.244507
93,0,1938.572632,-3651.811279,1300.967529,2000.715942,-3653.605225,1303.360229,2077.206787,-3654.533447,1306.260132
94,0,1938.624634,-3651.831787,1300.928833,2000.804199,-3653.752686,1303.337891,2077.173096,-3654.495117,1306.254883
95,0,1938.627319,-3651.830811,1300.905640,2000.715698,-3653.608887,1303.349609,2077.178467,-3654.499756,1306.227539
96,0,1938.617798,-3651.822266,1300.923462,2000.716187,-3653.608887,1303.353638,2077.162598,-3654.479736,1306.249146
97,0,1938.649780,-3651.874512,1300.919189,2000.717407,-3653.610596,1303.352295,2077.165527,-3654.478760,1306.271606
98,0,1938.592651,-3651.865479,1300.907227,2000.752930,-3653.674316,1303.342407,2077.183350,-3654.503906,1306.234863
99,0,1938.591675,-3651.864746,1300.908081,2000.766724,-3653.684082,1303.377441,2077.215820,-3654.571289,1306.228516
100,0,1938.580811,-3651.855469,1300.900635,2000.796509,-3653.678711,1303.349121,2077.175049,-3654.491455,1306.228027

