Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-3547.154297,-2336.925537,1803.002075,-3609.419434,-2335.949463,1800.123657,-3685.885498,-2333.978516,1798.113892
2,0,-3547.177246,-2336.973145,1802.972656,-3609.430908,-2335.921387,1800.110718,-3685.895020,-2334.081055,1798.113525
3,0,-3547.166992,-2336.929199,1803.003296,-3609.437988,-2335.899170,1800.118042,-3685.885254,-2334.002686,1798.112183
4,0,-3547.184570,-2336.988525,1802.993530,-3609.426025,-2335.889893,1800.113037,-3685.889404,-2334.011719,1798.102661
5,0,-3547.170898,-2336.991943,1802.975586,-3609.424805,-2335.890137,1800.134644,-3685.897705,-2334.054443,1798.092285
6,0,-3547.180420,-2337.046387,1802.970825,-3609.394775,-2335.714355,1800.215454,-3685.878418,-2334.037598,1798.087036
7,0,-3547.176270,-2337.006836,1802.945190,-3609.381348,-2335.918457,1800.138794,-3685.895020,-2334.058105,1798.080200
8,0,-3547.157227,-2337.036377,1802.937500,-3609.376953,-2335.886963,1800.118896,-3685.874023,-2334.095459,1798.079834
9,0,-3547.145752,-2337.000000,1802.942749,-3609.385986,-2335.881592,1800.148315,-3685.819824,-2334.287598,1798.000366
10,0,-3547.161865,-2336.911865,1802.919067,-3609.374756,-2335.879150,1800.140503,-3685.827637,-2334.453613,1797.986816
11,0,-3547.164307,-2337.000488,1802.921753,-3609.395996,-2335.847900,1800.129761,-3685.840332,-2334.412842,1797.986450
12,0,-3547.171631,-2337.015137,1802.908569,-3609.377441,-2335.723145,1800.188354,-3685.856201,-2334.014648,1798.017090
13,0,-3547.182617,-2336.935059,1802.904419,-3609.376465,-2335.723389,1800.180420,-3685.874756,-2334.131836,1798.051025
14,0,-3547.185303,-2336.981445,1802.923584,-3609.390869,-2335.856445,1800.133911,-3685.869629,-2334.052002,1798.032227
15,0,-3547.177490,-2336.954590,1802.885254,-3609.359863,-2335.721924,1800.200195,-3685.860596,-2334.014893,1798.027100
16,0,-3547.136719,-2337.023438,1802.909790,-3609.355713,-2335.744141,1800.227295,-3685.862305,-2334.009766,1798.024170
17,0,-3547.169434,-2336.964600,1802.917114,-3609.353760,-2335.745117,1800.237183,-3685.827393,-2333.978516,1798.010254
18,0,-3547.190430,-2336.946777,1802.877197,-3609.352051,-2335.780762,1800.202759,-3685.843506,-2333.958740,1797.997925
19,0,-3547.164062,-2337.007568,1802.910645,-3609.373535,-2335.732910,1800.199585,-3685.829102,-2334.276855,1797.950806
20,0,-3547.174805,-2337.004395,1802.895996,-3609.391357,-2335.848389,1800.170166,-3685.867920,-2334.028809,1798.018799
21,0,-3547.172607,-2336.969482,1802.919312,-3609.369141,-2335.769043,1800.201050,-3685.859375,-2334.057861,1798.037842
22,0,-3547.177979,-2337.062256,1802.913940,-3609.372314,-2335.737305,1800.194092,-3685.864746,-2334.063477,1798.056030
23,0,-3547.165283,-2336.997803,1802.919556,-3609.355713,-2335.768311,1800.213257,-3685.837646,-2334.066895,1798.060913
24,0,-3547.140869,-2337.015137,1802.904297,-3609.370361,-2335.910889,1800.153198,-3685.854736,-2334.090576,1798.062012
25,0,-3547.150146,-2336.964600,1802.937988,-3609.374268,-2335.884521,1800.170410,-3685.844238,-2333.997070,1798.034790
26,0,-3547.146484,-2336.916016,1802.924683,-3609.374023,-2335.867920,1800.176270,-3685.826660,-2334.361572,1797.993530
27,0,-3547.165527,-2336.927246,1802.936035,-3609.389893,-2335.872314,1800.161499,-3685.864502,-2334.127686,1798.062622
28,0,-3547.165283,-2336.905029,1802.927734,-3609.391846,-2335.877686,1800.156860,-3685.867188,-2334.038086,1798.057617
29,0,-3547.163574,-2336.980225,1802.912720,-3609.389893,-2335.858154,1800.159424,-3685.840820,-2334.268555,1798.007446
30,0,-3547.160889,-2336.960693,1802.923706,-3609.374756,-2335.729736,1800.206543,-3685.842529,-2334.275879,1798.009888
31,0,-3547.161621,-2336.961182,1802.924438,-3609.354736,-2335.768799,1800.214111,-3685.854004,-2334.059326,1798.051880
32,0,-3547.148438,-2336.955566,1802.899902,-3609.356445,-2335.767578,1800.183594,-3685.852539,-2334.056885,1798.063965
33,0,-3547.129883,-2336.943604,1802.911743,-3609.375000,-2335.875977,1800.133789,-3685.845215,-2334.070801,1798.032715
34,0,-3547.134521,-2336.949707,1802.893921,-3609.379639,-2335.877441,1800.139893,-3685.852295,-2334.054199,1798.032104
35,0,-3547.124756,-2336.907227,1802.894897,-3609.380371,-2335.882568,1800.151489,-3685.847168,-2334.087158,1798.059204
36,0,-3547.146484,-2337.023193,1802.921997,-3609.376465,-2335.856445,1800.123901,-3685.858643,-2334.060547,1798.016113
37,0,-3547.166016,-2337.029053,1802.980469,-3609.397705,-2335.891113,1800.120361,-3685.877686,-2334.072510,1798.025269
38,0,-3547.183105,-2337.038574,1802.961426,-3609.382324,-2335.891846,1800.129883,-3685.866943,-2334.070068,1798.017212
39,0,-3547.162354,-2337.110107,1802.980347,-3609.383301,-2335.913574,1800.124756,-3685.856201,-2334.048584,1798.055786
40,0,-3547.142334,-2337.053467,1802.918457,-3609.364990,-2335.892578,1800.125244,-3685.832031,-2334.306641,1797.996216
41,0,-3547.145752,-2337.003906,1802.899902,-3609.366699,-2335.709473,1800.198853,-3685.855713,-2334.063721,1798.048340
42,0,-3547.165283,-2337.032227,1802.953247,-3609.380859,-2335.891602,1800.144165,-3685.856445,-2334.125000,1798.039551
43,0,-3547.154297,-2336.974854,1802.916504,-3609.371338,-2335.723389,1800.201538,-3685.875977,-2334.206299,1798.083862
44,0,-3547.178711,-2337.041260,1802.970947,-3609.389648,-2335.936523,1800.138550,-3685.874512,-2334.107178,1798.019531
45,0,-3547.191406,-2337.073975,1802.994995,-3609.398682,-2335.887695,1800.149414,-3685.873047,-2334.091309,1798.055420
46,0,-3547.129883,-2336.626953,1802.687256,-3609.396240,-2335.879395,1800.135864,-3685.870850,-2334.065430,1798.050049
47,0,-3547.114258,-2336.662598,1802.674072,-3609.394043,-2335.880127,1800.124512,-3685.874756,-2334.071777,1798.044678
48,0,-3547.140625,-2336.894775,1802.839478,-3609.373779,-2335.736572,1800.187866,-3685.854248,-2334.038330,1798.076538
49,0,-3547.152100,-2336.873291,1802.829712,-3609.393066,-2335.880859,1800.142944,-3685.849365,-2334.045654,1798.068481
50,0,-3547.149658,-2336.853271,1802.844849,-3609.387207,-2335.883301,1800.140381,-3685.847900,-2334.049316,1798.063721
51,0,-3547.148926,-2336.875244,1802.857300,-3609.374756,-2335.849609,1800.137695,-3685.853760,-2334.004883,1798.058594
52,0,-3547.134766,-2336.881592,1802.861328,-3609.388428,-2335.865234,1800.147705,-3685.870361,-2334.008057,1798.071655
53,0,-3547.159668,-2336.911865,1802.863281,-3609.380859,-2335.892822,1800.164917,-3685.875732,-2334.055176,1798.063110
54,0,-3547.170898,-2336.869141,1802.861084,-3609.385254,-2335.929199,1800.141479,-3685.875977,-2334.038818,1798.075195
55,0,-3547.159424,-2336.927734,1802.882446,-3609.390869,-2335.874512,1800.148071,-3685.871094,-2334.051758,1798.068604
56,0,-3547.150879,-2336.955566,1802.876953,-3609.365479,-2335.753662,1800.195435,-3685.869141,-2333.994873,1798.067261
57,0,-3547.156494,-2336.968018,1802.899170,-3609.384521,-2335.867676,1800.183594,-3685.868408,-2334.107178,1798.093750
58,0,-3547.149414,-2336.923096,1802.910034,-3609.367920,-2335.713135,1800.215820,-3685.832031,-2333.933350,1798.032837
59,0,-3547.159180,-2336.946289,1802.906006,-3609.387939,-2335.873047,1800.163574,-3685.837402,-2333.886719,1798.028931
60,0,-3547.165039,-2336.939453,1802.917725,-3609.383789,-2335.849365,1800.171753,-3685.856445,-2333.921875,1798.057007
61,0,-3547.181396,-2336.977051,1802.923096,-3609.388428,-2335.847412,1800.151733,-3685.850830,-2333.913086,1798.018921
62,0,-3547.186279,-2336.987061,1802.927490,-3609.391357,-2335.893799,1800.142700,-3685.856201,-2333.924316,1798.025635
63,0,-3547.155273,-2336.934326,1802.923096,-3609.390625,-2335.885742,1800.149292,-3685.835693,-2334.223389,1797.969604
64,0,-3547.168945,-2336.963135,1802.919434,-3609.375732,-2335.729248,1800.188843,-3685.818848,-2334.221924,1797.975586
65,0,-3547.161865,-2336.979736,1802.900269,-3609.374756,-2335.739014,1800.203247,-3685.851074,-2334.055908,1798.029297
66,0,-3547.162354,-2336.971924,1802.937988,-3609.369873,-2335.864990,1800.181519,-3685.819824,-2334.229492,1798.002319
67,0,-3547.162354,-2336.939453,1802.894775,-3609.377197,-2335.859619,1800.171997,-3685.852783,-2334.152344,1798.061523
68,0,-3547.177246,-2336.960938,1802.932617,-3609.382080,-2335.822998,1800.181152,-3685.875244,-2334.225830,1798.078369
69,0,-3547.179443,-2336.864502,1802.917847,-3609.385986,-2335.824951,1800.169922,-3685.851807,-2334.058105,1798.059326
70,0,-3547.175781,-2336.871094,1802.905396,-3609.375244,-2335.871338,1800.160034,-3685.874756,-2334.042480,1798.038330
71,0,-3547.168213,-2336.873291,1802.927246,-3609.400391,-2335.855957,1800.187866,-3685.912598,-2334.289795,1798.031860
72,0,-3547.167725,-2336.892578,1802.943481,-3609.420410,-2335.860107,1800.163696,-3685.922363,-2334.262451,1798.032104
73,0,-3547.170166,-2336.837891,1802.963135,-3609.407471,-2335.888916,1800.153809,-3685.866699,-2333.958496,1798.034790
74,0,-3547.166260,-2336.860596,1802.944580,-3609.420410,-2335.862793,1800.155518,-3685.876953,-2334.016113,1798.025024
75,0,-3547.194580,-2336.881592,1802.934570,-3609.406738,-2335.881592,1800.149170,-3685.851074,-2333.957764,1798.032104
76,0,-3547.180908,-2336.967773,1802.959595,-3609.399170,-2335.876709,1800.176025,-3685.824463,-2334.212891,1797.968994
77,0,-3547.148682,-2336.865723,1802.905640,-3609.392334,-2335.888184,1800.139893,-3685.835205,-2334.230469,1797.994019
78,0,-3547.162109,-2336.996338,1802.926025,-3609.393555,-2335.750732,1800.212036,-3685.875488,-2334.039795,1798.041016
79,0,-3547.173584,-2337.024902,1802.930664,-3609.385742,-2335.841309,1800.166504,-3685.851074,-2334.330566,1797.986938
80,0,-3547.174316,-2337.032715,1802.938232,-3609.372314,-2335.730469,1800.199097,-3685.846924,-2334.033203,1798.054810
81,0,-3547.159668,-2336.880371,1802.918823,-3609.395264,-2335.830566,1800.163086,-3685.851807,-2334.048096,1798.033447
82,0,-3547.168213,-2337.001465,1802.933472,-3609.374512,-2335.858643,1800.183350,-3685.851074,-2334.132568,1798.088257
83,0,-3547.170166,-2336.975830,1802.936279,-3609.374512,-2335.872070,1800.188599,-3685.850098,-2334.092773,1798.049805
84,0,-3547.159424,-2336.964600,1802.929077,-3609.371094,-2335.901123,1800.175049,-3685.818604,-2334.343506,1798.036499
85,0,-3547.142578,-2336.964355,1802.937500,-3609.358154,-2335.761475,1800.206665,-3685.832031,-2334.352783,1798.017212
86,0,-3547.147949,-2336.928955,1802.901733,-3609.372070,-2335.748047,1800.208984,-3685.863525,-2334.130127,1798.066650
