Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1979.157593,-1180.661377,1356.378906,2038.684326,-1179.533081,1359.319336,2114.100098,-1176.305176,1361.813110
2,0,1979.098267,-1180.664917,1356.374756,2038.797363,-1180.094482,1359.496826,2114.100098,-1176.305176,1361.813110
3,0,1979.102905,-1180.657715,1356.378418,2038.778320,-1180.085449,1359.515503,2114.107178,-1176.286987,1361.818359
4,0,1979.105713,-1180.651855,1356.383301,2038.779297,-1180.138672,1359.453369,2114.104980,-1176.288696,1361.814209
5,0,1979.106567,-1180.655273,1356.399048,2038.759277,-1180.059570,1359.473633,2114.094727,-1176.323242,1361.818115
6,0,1979.153320,-1180.664062,1356.420654,2038.789307,-1180.188232,1359.431152,2114.111084,-1176.357666,1361.834717
7,0,1979.103516,-1180.664185,1356.428711,2038.710083,-1180.103149,1359.449097,2114.114258,-1176.380859,1361.846558
8,0,1979.157349,-1180.676758,1356.433228,2038.762817,-1180.250244,1359.450928,2114.125732,-1176.414185,1361.870605
9,0,1979.211548,-1180.672241,1356.473267,2038.779053,-1180.121460,1359.500977,2114.077881,-1176.377441,1361.861328
10,0,1979.164429,-1180.646362,1356.492676,2038.710327,-1180.232178,1359.501343,2114.092041,-1176.409424,1361.885010
11,0,1979.220337,-1180.654785,1356.499268,2038.681274,-1180.207764,1359.528687,2114.131104,-1176.455200,1361.906372
12,0,1979.273193,-1180.672974,1356.514160,2038.670532,-1180.107910,1359.594971,2114.188721,-1176.535400,1361.939209
13,0,1979.217285,-1180.672607,1356.539185,2038.571167,-1179.609863,1359.386841,2114.185059,-1176.523926,1361.940796
14,0,1979.265747,-1180.692749,1356.528687,2038.715576,-1180.016602,1359.566406,2114.174316,-1176.523315,1361.926514
15,0,1979.259033,-1180.699585,1356.494019,2038.614014,-1179.646118,1359.382690,2114.132812,-1176.521851,1361.915771
16,0,1979.266113,-1180.694580,1356.545044,2038.640259,-1179.645630,1359.394165,2114.236816,-1176.592773,1361.955688
17,0,1979.163696,-1180.656494,1356.537354,2038.622803,-1179.940430,1359.468506,2114.279785,-1176.604980,1361.969971
18,0,1979.163696,-1180.658691,1356.535278,2038.710327,-1180.008789,1359.466187,2114.231201,-1176.560669,1361.952515
