Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1159.035767,1751.593994,1393.634277,1155.606445,1813.627930,1387.736206,1151.019409,1889.651855,1380.864990
2,0,1159.035767,1751.593994,1393.634277,1155.605835,1813.627686,1387.736328,1151.045288,1889.716309,1380.856079
3,0,1159.035767,1751.593994,1393.634277,1155.605835,1813.627686,1387.736328,1151.045288,1889.716309,1380.856079
4,0,1159.035767,1751.593994,1393.634277,1155.613525,1813.630127,1387.704834,1151.019409,1889.651855,1380.864990
5,0,1159.036987,1751.593994,1393.639526,1155.600586,1813.628296,1387.669556,1151.019409,1889.651855,1380.864990
6,0,1159.028442,1751.593262,1393.605103,1155.596436,1813.626709,1387.670288,1151.019531,1889.651855,1380.865112
7,0,1159.029541,1751.593384,1393.609863,1155.588745,1813.624146,1387.695435,1151.000977,1889.648315,1380.852661
8,0,1159.104248,1751.606689,1393.616333,1155.581787,1813.621704,1387.702515,1151.000977,1889.648315,1380.852783
9,0,1158.995361,1751.527466,1393.645874,1155.556641,1813.557983,1387.710815,1151.000977,1889.648315,1380.852783
10,0,1159.032349,1751.593506,1393.621338,1155.564941,1813.563721,1387.676514,1150.991333,1889.647583,1380.814697
11,0,1159.033325,1751.593506,1393.624512,1155.561890,1813.562744,1387.676636,1150.991333,1889.647583,1380.814697
12,0,1159.115112,1751.609131,1393.600586,1155.543091,1813.555420,1387.650879,1150.991333,1889.647583,1380.814697
13,0,1159.034668,1751.593628,1393.630493,1155.563965,1813.562866,1387.641113,1150.991455,1889.647583,1380.814819
14,0,1159.035645,1751.593628,1393.634521,1155.542969,1813.555420,1387.645264,1150.991333,1889.647583,1380.814697
15,0,1159.035278,1751.593628,1393.633423,1155.572754,1813.618042,1387.674072,1151.000977,1889.648315,1380.852905
16,0,1159.089233,1751.545654,1393.610962,1155.549316,1813.555054,1387.706543,1151.000977,1889.648315,1380.852905
17,0,1159.116089,1751.609253,1393.604492,1155.544556,1813.553467,1387.687744,1151.000977,1889.648315,1380.852905
18,0,1159.035278,1751.593628,1393.633423,1155.543091,1813.552979,1387.687866,1151.009521,1889.651123,1380.826172
19,0,1159.090210,1751.545654,1393.614624,1155.545532,1813.553711,1387.687988,1151.009399,1889.651123,1380.825439
20,0,1159.035034,1751.593628,1393.632080,1155.552734,1813.556030,1387.681763,1151.009399,1889.651123,1380.825439
21,0,1159.009277,1751.529907,1393.642212,1155.552246,1813.555908,1387.681763,1151.009399,1889.651123,1380.825439
22,0,1159.035278,1751.593628,1393.633423,1155.572754,1813.618042,1387.674072,1151.000977,1889.648315,1380.852661
23,0,1159.023926,1751.590942,1393.645874,1155.570068,1813.616943,1387.699097,1151.009521,1889.651123,1380.825806
24,0,1159.009277,1751.529907,1393.642212,1155.540161,1813.551880,1387.713135,1151.001099,1889.648315,1380.853149
25,0,1159.035034,1751.593628,1393.632080,1155.584717,1813.622314,1387.706665,1151.000977,1889.648315,1380.852905
26,0,1159.089966,1751.545654,1393.613403,1155.564087,1813.560303,1387.714233,1151.009277,1889.651123,1380.824951
27,0,1159.035278,1751.593628,1393.633423,1155.564697,1813.560791,1387.688965,1151.009277,1889.651123,1380.824951
28,0,1159.115723,1751.609253,1393.603271,1155.562378,1813.559937,1387.714111,1151.009521,1889.651123,1380.825806
29,0,1159.106934,1751.606812,1393.627441,1155.586304,1813.623169,1387.700684,1151.000977,1889.648315,1380.852905
30,0,1159.107178,1751.606812,1393.628418,1155.546387,1813.554321,1387.706665,1151.086792,1889.666992,1380.833252
31,0,1159.107178,1751.606812,1393.628418,1155.539673,1813.551392,1387.713501,1151.086914,1889.666992,1380.833862
32,0,1159.106934,1751.606812,1393.627441,1155.547363,1813.554077,1387.707397,1151.086914,1889.666992,1380.833862
33,0,1159.107178,1751.606812,1393.628418,1155.564697,1813.560181,1387.708862,1151.086914,1889.666992,1380.833862
34,0,1159.107178,1751.606812,1393.628418,1155.629639,1813.570679,1387.694702,1151.086914,1889.666992,1380.833862
35,0,1159.116089,1751.609253,1393.604492,1155.563721,1813.560059,1387.708740,1151.087036,1889.666992,1380.834106
36,0,1159.115479,1751.609131,1393.602173,1155.585571,1813.622925,1387.700562,1151.001343,1889.648315,1380.853394
