Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-2734.427490,-4442.537109,1680.265747,-2732.565430,-4505.299805,1677.000610,-2729.112061,-4581.696777,1672.248047
2,0,-2734.427490,-4442.537109,1680.265747,-2732.565430,-4505.299805,1677.000610,-2729.112061,-4581.696777,1672.248047
3,0,-2734.427490,-4442.537109,1680.265747,-2732.565430,-4505.299805,1677.000610,-2729.112061,-4581.696777,1672.248047
4,0,-2734.427490,-4442.537109,1680.265747,-2732.566162,-4505.299805,1677.000610,-2729.090576,-4581.689941,1672.286621
5,0,-2734.406982,-4442.531250,1680.304077,-2732.563477,-4505.299316,1676.999023,-2729.088135,-4581.694824,1672.229980
6,0,-2734.446045,-4442.622070,1680.300781,-2732.576416,-4505.381348,1677.023682,-2729.088135,-4581.694824,1672.231323
7,0,-2734.406982,-4442.531250,1680.304321,-2732.477295,-4505.283203,1676.998779,-2728.982666,-4581.670410,1672.201294
8,0,-2734.367676,-4442.438965,1680.307495,-2732.469727,-4505.280762,1676.999268,-2729.109619,-4581.701660,1672.192139
9,0,-2734.367676,-4442.438965,1680.308594,-2732.543213,-4505.291992,1677.027954,-2729.090332,-4581.689941,1672.283081
10,0,-2734.367676,-4442.438965,1680.306641,-2732.450928,-4505.274902,1677.031494,-2729.072754,-4581.604492,1672.243774
11,0,-2734.367676,-4442.438965,1680.305542,-2732.552979,-4505.294434,1676.998291,-2728.924561,-4581.565430,1672.289062
12,0,-2734.349121,-4442.353516,1680.273438,-2732.542480,-4505.290527,1677.022217,-2728.925049,-4581.565430,1672.294189
13,0,-2734.367676,-4442.439453,1680.305420,-2732.464600,-4505.277344,1676.990479,-2729.111572,-4581.697266,1672.242065
14,0,-2734.403809,-4442.535645,1680.246826,-2732.465576,-4505.277832,1676.989990,-2728.985107,-4581.665527,1672.247803
15,0,-2734.427490,-4442.537109,1680.265747,-2732.552734,-4505.292969,1676.984009,-2729.150879,-4581.790527,1672.238647
16,0,-2734.388184,-4442.445801,1680.269653,-2732.460938,-4505.276367,1676.992310,-2729.148193,-4581.795410,1672.186768
17,0,-2734.388184,-4442.445801,1680.269653,-2732.465576,-4505.277832,1676.989868,-2729.111572,-4581.697266,1672.240601
18,0,-2734.388184,-4442.445801,1680.269653,-2732.460938,-4505.273926,1676.983032,-2728.985107,-4581.665039,1672.248291
19,0,-2734.367676,-4442.438965,1680.305664,-2732.464600,-4505.277344,1676.995483,-2728.985107,-4581.665039,1672.249146
20,0,-2734.370117,-4442.434570,1680.362305,-2732.464111,-4505.277344,1676.995361,-2728.924316,-4581.565430,1672.285889
21,0,-2734.370117,-4442.434570,1680.361816,-2732.461182,-4505.275879,1676.989624,-2729.109131,-4581.702148,1672.187256
22,0,-2734.409424,-4442.525879,1680.358643,-2732.536133,-4505.287598,1677.019287,-2729.111328,-4581.697266,1672.237427
23,0,-2734.409424,-4442.525879,1680.358276,-2732.550537,-4505.292480,1676.986938,-2729.147705,-4581.795898,1672.176636
24,0,-2734.409424,-4442.525879,1680.358643,-2732.574463,-4505.377441,1676.973877,-2729.125977,-4581.788574,1672.214600
25,0,-2734.283691,-4442.503418,1680.313354,-2732.481445,-4505.283691,1676.993774,-2729.109375,-4581.702148,1672.189087
26,0,-2734.283691,-4442.503418,1680.312988,-2732.458984,-4505.274902,1676.994019,-2729.070068,-4581.609863,1672.188477
27,0,-2734.244385,-4442.412109,1680.315796,-2732.428223,-4505.185059,1676.993408,-2729.112061,-4581.696777,1672.247559
28,0,-2734.244385,-4442.412109,1680.315796,-2732.427002,-4505.185059,1676.996582,-2728.987793,-4581.660156,1672.305176
29,0,-2734.241943,-4442.416016,1680.264771,-2732.531006,-4505.286133,1677.027344,-2729.051025,-4581.596680,1672.278687
30,0,-2734.301270,-4442.514648,1680.220459,-2732.467773,-4505.277832,1676.987427,-2729.090332,-4581.689941,1672.281250
31,0,-2734.463867,-4442.633789,1680.208374,-2732.579102,-4505.379395,1676.974976,-2729.150391,-4581.790527,1672.233765
32,0,-2734.304199,-4442.510254,1680.274658,-2732.603516,-4505.386719,1676.963257,-2729.147949,-4581.795410,1672.182983
33,0,-2734.427490,-4442.537109,1680.265747,-2732.607178,-4505.387695,1676.962646,-2729.109619,-4581.701660,1672.192383
34,0,-2734.367676,-4442.438965,1680.306152,-2732.491211,-4505.361816,1676.971069,-2729.108887,-4581.702148,1672.180664
35,0,-2734.367432,-4442.439453,1680.304565,-2732.577148,-4505.378906,1676.981689,-2728.960938,-4581.662598,1672.235474
36,0,-2734.265137,-4442.417969,1680.278931,-2732.439453,-4505.260742,1677.048218,-2728.981934,-4581.670898,1672.190796
37,0,-2734.265137,-4442.417969,1680.278809,-2732.439453,-4505.267578,1676.998413,-2728.985352,-4581.665039,1672.251343
38,0,-2734.247070,-4442.407715,1680.371338,-2732.476807,-4505.357910,1677.002075,-2729.109619,-4581.701660,1672.192017
39,0,-2734.247070,-4442.407715,1680.371216,-2732.577881,-4505.378418,1676.967773,-2729.109375,-4581.702148,1672.187988
40,0,-2734.306885,-4442.504883,1680.329468,-2732.490479,-4505.361328,1676.971436,-2729.148193,-4581.795410,1672.185181
41,0,-2734.427490,-4442.537109,1680.265747,-2732.607666,-4505.388672,1676.968384,-2729.147949,-4581.795898,1672.180298
