Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-3511.034180,-1105.042480,1985.986816,-3573.056641,-1102.474365,1994.495728,-3648.870605,-1097.322266,2005.588013
2,0,-3511.033447,-1105.037964,1985.988281,-3573.060791,-1102.481079,1994.497803,-3648.847656,-1097.339355,2005.574219
3,0,-3511.246582,-1105.621826,1986.127930,-3573.046143,-1102.453613,1994.505615,-3648.810303,-1097.319580,2005.592163
4,0,-3511.006836,-1105.057495,1986.027222,-3573.012207,-1102.435913,1994.486450,-3648.787842,-1097.354736,2005.608276
5,0,-3510.968506,-1105.051758,1986.013184,-3572.967285,-1102.423218,1994.513550,-3648.743408,-1097.318237,2005.602783
6,0,-3510.957275,-1105.054199,1986.006348,-3572.956543,-1102.420044,1994.513428,-3648.726807,-1097.269897,2005.589478
7,0,-3510.941895,-1105.033325,1986.003174,-3572.951416,-1102.416504,1994.504517,-3648.755615,-1097.330200,2005.607788
8,0,-3511.167969,-1105.527832,1986.083008,-3572.965820,-1102.402344,1994.497314,-3648.758789,-1097.357788,2005.575684
9,0,-3510.975342,-1105.002686,1985.953735,-3572.996582,-1102.416748,1994.480469,-3648.783203,-1097.318359,2005.557007
10,0,-3510.971924,-1105.020996,1985.946533,-3573.017822,-1102.423218,1994.476074,-3648.811523,-1097.364746,2005.530640
11,0,-3510.962646,-1105.014038,1985.961060,-3572.982910,-1102.432739,1994.464233,-3648.777832,-1097.360596,2005.553223
12,0,-3510.934814,-1105.043945,1985.968140,-3572.967041,-1102.414917,1994.470703,-3648.763184,-1097.363647,2005.558228
13,0,-3510.890381,-1105.024658,1985.968628,-3572.929932,-1102.406982,1994.497070,-3648.722412,-1097.327881,2005.576172
14,0,-3510.879395,-1105.006104,1985.970093,-3572.912109,-1102.441772,1994.478516,-3648.702148,-1097.376465,2005.574219
15,0,-3511.057861,-1105.451294,1986.032349,-3572.911377,-1102.463623,1994.489990,-3648.727051,-1097.361450,2005.544434
16,0,-3511.087402,-1105.458374,1986.005127,-3572.951416,-1102.477051,1994.469727,-3648.746094,-1097.415283,2005.532227
17,0,-3511.115723,-1105.451416,1986.011230,-3572.977783,-1102.450195,1994.447632,-3648.771973,-1097.437988,2005.547485
18,0,-3511.124268,-1105.467896,1985.985474,-3572.989258,-1102.418091,1994.460571,-3648.790283,-1097.365479,2005.524414
19,0,-3511.135010,-1105.505005,1986.006958,-3572.990479,-1102.415894,1994.453369,-3648.785889,-1097.370239,2005.511475
20,0,-3511.128662,-1105.491577,1986.037842,-3572.952881,-1102.400146,1994.472412,-3648.762695,-1097.386597,2005.531494
21,0,-3510.914551,-1105.037720,1985.962769,-3572.937256,-1102.446289,1994.486572,-3648.717285,-1097.350830,2005.546631
22,0,-3511.059570,-1105.482910,1986.049438,-3572.904297,-1102.433594,1994.476440,-3648.717041,-1097.373779,2005.562012
23,0,-3510.891357,-1105.060425,1985.964966,-3572.907715,-1102.439941,1994.485718,-3648.724854,-1097.370117,2005.541382
24,0,-3510.914551,-1105.046021,1985.967407,-3572.962158,-1102.504517,1994.458618,-3648.744141,-1097.412598,2005.552979
25,0,-3511.099609,-1105.498901,1986.006836,-3572.979492,-1102.475220,1994.478638,-3648.779541,-1097.421753,2005.541504
26,0,-3511.121582,-1105.464111,1986.028687,-3573.003174,-1102.447998,1994.458130,-3648.793457,-1097.416870,2005.543457
27,0,-3511.150879,-1105.492676,1986.003662,-3573.009033,-1102.471924,1994.465820,-3648.795898,-1097.425537,2005.519653
28,0,-3510.937988,-1105.018555,1985.973022,-3572.997803,-1102.448975,1994.455200,-3648.788818,-1097.393433,2005.535645
29,0,-3510.908203,-1105.022583,1985.991211,-3572.980713,-1102.485596,1994.486084,-3648.768799,-1097.422363,2005.564697
30,0,-3511.083008,-1105.459595,1986.042603,-3572.928467,-1102.422363,1994.505859,-3648.745361,-1097.405518,2005.572998
31,0,-3511.058105,-1105.469971,1986.043457,-3572.933105,-1102.443726,1994.511963,-3648.741943,-1097.389282,2005.585205
32,0,-3510.911377,-1105.024048,1985.962769,-3572.926025,-1102.411255,1994.490967,-3648.717285,-1097.361694,2005.545410
33,0,-3511.138428,-1105.535156,1986.008667,-3572.964844,-1102.430786,1994.471191,-3648.757812,-1097.379150,2005.547729
34,0,-3511.128174,-1105.497070,1986.010620,-3573.005127,-1102.470459,1994.461792,-3648.771729,-1097.348633,2005.517212
35,0,-3511.155518,-1105.488647,1986.007080,-3573.028320,-1102.450317,1994.466675,-3648.814209,-1097.364258,2005.530640
36,0,-3510.979980,-1105.043335,1985.941650,-3573.001953,-1102.456177,1994.466431,-3648.789795,-1097.386353,2005.528931
37,0,-3511.118652,-1105.469849,1986.028931,-3572.973145,-1102.452026,1994.465332,-3648.764404,-1097.309814,2005.546631
38,0,-3511.085693,-1105.464355,1986.058960,-3572.932129,-1102.419556,1994.484497,-3648.751465,-1097.354248,2005.560181
39,0,-3511.059814,-1105.476318,1986.049683,-3572.939941,-1102.448486,1994.477539,-3648.719482,-1097.352417,2005.581421
40,0,-3510.912354,-1105.042969,1985.985474,-3572.949463,-1102.482056,1994.489624,-3648.717529,-1097.358643,2005.579712
41,0,-3511.099121,-1105.509888,1986.034668,-3572.974365,-1102.480713,1994.477539,-3648.755859,-1097.374023,2005.556763
42,0,-3510.940918,-1105.018799,1985.947021,-3573.009766,-1102.483154,1994.458252,-3648.782959,-1097.366943,2005.543213
43,0,-3511.148438,-1105.469482,1986.005127,-3572.998047,-1102.454834,1994.467285,-3648.785645,-1097.367798,2005.539429
44,0,-3511.139893,-1105.447998,1986.023560,-3572.975098,-1102.384155,1994.467651,-3648.787842,-1097.384644,2005.540405
45,0,-3511.111816,-1105.461182,1986.051880,-3572.964844,-1102.428833,1994.482178,-3648.787109,-1097.389404,2005.562744
46,0,-3511.084473,-1105.466675,1986.057495,-3572.929688,-1102.422852,1994.489746,-3648.744141,-1097.355713,2005.577271
47,0,-3511.078613,-1105.529785,1986.050049,-3572.950195,-1102.489258,1994.515137,-3648.728760,-1097.392822,2005.564209
48,0,-3511.100586,-1105.557007,1986.067627,-3572.946777,-1102.479126,1994.499268,-3648.747803,-1097.406982,2005.577148
49,0,-3511.124023,-1105.549194,1986.061035,-3572.963379,-1102.491943,1994.477539,-3648.779541,-1097.419678,2005.581665
50,0,-3511.163330,-1105.562866,1986.059326,-3572.980713,-1102.451782,1994.470093,-3648.779541,-1097.404175,2005.549194
51,0,-3511.169922,-1105.575317,1986.051270,-3573.010010,-1102.453491,1994.466919,-3648.785889,-1097.352539,2005.549438
52,0,-3511.191406,-1105.620361,1986.045654,-3573.004150,-1102.439087,1994.461060,-3648.788330,-1097.348145,2005.535645
53,0,-3511.177246,-1105.601440,1986.059937,-3572.963867,-1102.431885,1994.468384,-3648.742676,-1097.337280,2005.560669
54,0,-3511.171875,-1105.654907,1986.082275,-3572.928955,-1102.420288,1994.495483,-3648.758057,-1097.384521,2005.594727
55,0,-3510.888184,-1105.034302,1985.991455,-3572.906006,-1102.443726,1994.513550,-3648.732910,-1097.425781,2005.588013
56,0,-3511.067139,-1105.481201,1986.053467,-3572.907715,-1102.452148,1994.503174,-3648.709229,-1097.411011,2005.565186
57,0,-3511.077148,-1105.520874,1986.040649,-3572.952637,-1102.493530,1994.494141,-3648.757812,-1097.461670,2005.571899
58,0,-3510.928223,-1105.073975,1985.969360,-3572.942139,-1102.443604,1994.465088,-3648.747803,-1097.432251,2005.541504
59,0,-3511.139893,-1105.507812,1986.007812,-3572.952881,-1102.406006,1994.469482,-3648.772705,-1097.399414,2005.521240
60,0,-3511.134033,-1105.488037,1986.016602,-3572.968750,-1102.434082,1994.448120,-3648.771729,-1097.336914,2005.543457
61,0,-3511.115479,-1105.464355,1986.011108,-3572.967773,-1102.447632,1994.461914,-3648.776611,-1097.333252,2005.532227
62,0,-3511.084473,-1105.461304,1986.020996,-3572.966064,-1102.441406,1994.458252,-3648.739258,-1097.321167,2005.557739
63,0,-3511.077148,-1105.504395,1986.053467,-3572.952148,-1102.494385,1994.474976,-3648.724854,-1097.404541,2005.571167
64,0,-3511.084473,-1105.547852,1986.046509,-3572.931641,-1102.517090,1994.488647,-3648.741455,-1097.421387,2005.561768
65,0,-3511.104492,-1105.568726,1986.050171,-3572.936768,-1102.459839,1994.498047,-3648.742432,-1097.431396,2005.548462
66,0,-3511.148926,-1105.622559,1986.053467,-3572.957520,-1102.504517,1994.466797,-3648.747803,-1097.452393,2005.532227
67,0,-3511.169189,-1105.578247,1986.041138,-3572.991699,-1102.474121,1994.456177,-3648.754883,-1097.370972,2005.515625
68,0,-3511.193604,-1105.629639,1986.039673,-3573.013184,-1102.463867,1994.454956,-3648.778809,-1097.352173,2005.504883
69,0,-3510.940430,-1105.018066,1985.938721,-3573.013184,-1102.464355,1994.463989,-3648.790039,-1097.404541,2005.515869
70,0,-3511.125732,-1105.499878,1986.025024,-3572.981445,-1102.453491,1994.456543,-3648.768555,-1097.402710,2005.538208
71,0,-3511.093262,-1105.492554,1986.025879,-3572.967529,-1102.499756,1994.477539,-3648.732910,-1097.399902,2005.513184
72,0,-3510.886475,-1105.049927,1985.986694,-3572.954834,-1102.458862,1994.483521,-3648.721191,-1097.468018,2005.548218
73,0,-3511.076416,-1105.531982,1986.034912,-3572.936768,-1102.488159,1994.469971,-3648.726074,-1097.447998,2005.525879
74,0,-3511.078613,-1105.517090,1986.008667,-3572.977051,-1102.501343,1994.457153,-3648.749756,-1097.437134,2005.526978
75,0,-3510.920898,-1105.038696,1985.946045,-3572.978027,-1102.512207,1994.442993,-3648.740723,-1097.415649,2005.527954
76,0,-3511.118408,-1105.481689,1986.002563,-3572.990234,-1102.470825,1994.445068,-3648.771973,-1097.412231,2005.515137
77,0,-3511.116455,-1105.468506,1986.005127,-3572.966309,-1102.442871,1994.444214,-3648.770508,-1097.339844,2005.512207
78,0,-3510.941162,-1105.019897,1985.946289,-3572.978271,-1102.467773,1994.459106,-3648.772461,-1097.409546,2005.518188
79,0,-3511.093750,-1105.487671,1986.022095,-3572.958008,-1102.488037,1994.469482,-3648.733154,-1097.390747,2005.555420
80,0,-3511.064209,-1105.483887,1986.036377,-3572.923828,-1102.475342,1994.481201,-3648.749756,-1097.456665,2005.540405
81,0,-3511.060547,-1105.478149,1986.033691,-3572.929932,-1102.492432,1994.485229,-3648.717285,-1097.454468,2005.544678
82,0,-3511.062500,-1105.480347,1986.030884,-3572.933105,-1102.490479,1994.460449,-3648.726074,-1097.476685,2005.538208
83,0,-3511.097168,-1105.490234,1986.013916,-3572.958008,-1102.492432,1994.443604,-3648.744629,-1097.431641,2005.530396
84,0,-3511.144531,-1105.520996,1985.993164,-3572.972168,-1102.449219,1994.432617,-3648.766602,-1097.406494,2005.518433
85,0,-3510.943604,-1105.017090,1985.919312,-3572.970459,-1102.429810,1994.443359,-3648.779785,-1097.373779,2005.511230
86,0,-3511.116943,-1105.446777,1985.989258,-3572.971924,-1102.431030,1994.442871,-3648.754883,-1097.364990,2005.520874
87,0,-3511.085693,-1105.450073,1986.006714,-3572.955566,-1102.480347,1994.454346,-3648.724121,-1097.385620,2005.546997
88,0,-3511.075439,-1105.508789,1986.023438,-3572.936035,-1102.495850,1994.466919,-3648.732178,-1097.409912,2005.554443
89,0,-3510.866211,-1105.053955,1985.964600,-3572.908203,-1102.445923,1994.503174,-3648.709229,-1097.417114,2005.550171
90,0,-3510.881592,-1105.023315,1985.964966,-3572.907959,-1102.430786,1994.478394,-3648.717529,-1097.445312,2005.570923
91,0,-3511.068115,-1105.492065,1986.017700,-3572.951904,-1102.472900,1994.466675,-3648.734375,-1097.415649,2005.568481
92,0,-3511.089111,-1105.467773,1986.002441,-3572.942383,-1102.448975,1994.458618,-3648.766846,-1097.415161,2005.526245
93,0,-3511.116943,-1105.457642,1985.986084,-3572.972168,-1102.444824,1994.428467,-3648.755615,-1097.359741,2005.532715
94,0,-3511.117188,-1105.463623,1985.995728,-3572.973633,-1102.446777,1994.442139,-3648.760986,-1097.361938,2005.518677
95,0,-3511.106201,-1105.514404,1985.990601,-3572.979492,-1102.470825,1994.440063,-3648.764160,-1097.398071,2005.525635
96,0,-3510.888672,-1105.032959,1985.943481,-3572.952637,-1102.486450,1994.443726,-3648.742920,-1097.401489,2005.553223
97,0,-3511.068359,-1105.493164,1986.018311,-3572.933350,-1102.497070,1994.446167,-3648.747803,-1097.444092,2005.538452
98,0,-3510.885498,-1105.030762,1985.956787,-3572.921875,-1102.479004,1994.460571,-3648.718994,-1097.434326,2005.523926
99,0,-3510.887939,-1105.044800,1985.948975,-3572.944092,-1102.455933,1994.468750,-3648.759521,-1097.448608,2005.533447
100,0,-3511.100098,-1105.505737,1985.991577,-3572.948975,-1102.458618,1994.457764,-3648.755127,-1097.375977,2005.519653

