Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.697876,-4788.277344,139.552567,-626.573303,-4672.279785,133.280777,-707.185120,-4791.515625,135.817322,-627.615112,-4554.308105,133.844070,-467.063446,-4791.755859,135.113571,-3638.513916,-2379.369385,1620.491577,-3700.603516,-2378.958740,1617.026978,-3777.649902,-2379.629395,1610.950439

