Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.742310,-4788.288574,139.501343,-626.582336,-4672.315430,133.269150,-707.193054,-4791.547363,135.784241,-627.653137,-4554.347168,133.801849,-467.034821,-4791.792969,135.061050,-3627.711182,916.019287,1552.150879,-3690.292725,916.810425,1550.774048,-3767.603516,917.388428,1547.876831

