Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.688721,-4788.306152,139.680679,-626.510498,-4672.286621,133.438782,-707.131531,-4791.571289,135.970840,-627.545044,-4554.383789,134.024765,-466.977997,-4791.805176,135.217911,-1554.204224,-4484.768066,1651.652466,-1550.778931,-4546.723145,1650.535400,-1546.130981,-4623.494629,1647.643433

