Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.747009,-4788.321777,139.432007,-626.588867,-4672.285156,133.223602,-707.202026,-4791.546387,135.750870,-627.668762,-4554.345215,133.765732,-467.045349,-4791.763184,135.027252,1020.256897,1778.657959,1527.492310,1020.526428,1841.375366,1525.913208,1019.983887,1917.774780,1525.915894

