Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.810242,-4788.340820,139.370773,-626.610107,-4672.291504,133.194901,-707.188660,-4791.579590,135.729492,-627.715210,-4554.387695,133.705368,-467.090942,-4791.806152,135.005783,-214.072571,1785.844849,1537.670044,-216.281158,1847.830322,1532.916504,-217.523407,1924.588257,1528.265747

