Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.814331,-4788.331055,139.414444,-626.626343,-4672.261230,133.195679,-707.228394,-4791.526367,135.745316,-627.731628,-4554.358398,133.717529,-467.111176,-4791.776367,135.007126,1868.753418,-2367.166748,1620.657959,1932.236450,-2373.628418,1616.200806,2008.547729,-2379.468994,1613.159180

