Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.799011,-4788.343262,139.369339,-626.617676,-4672.291504,133.218216,-707.220764,-4791.551270,135.744431,-627.721313,-4554.423340,133.703033,-467.057312,-4791.833008,134.958832,-1530.306519,1785.784424,1531.615112,-1529.430664,1848.207764,1529.296997,-1528.757080,1925.644409,1527.419800

