Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.761780,-4788.295898,139.477692,-626.590698,-4672.287109,133.256592,-707.181946,-4791.576660,135.768890,-627.657959,-4554.354980,133.766541,-467.053101,-4791.799805,135.025955,-3634.196533,-1142.755371,1578.673340,-3696.167725,-1143.293457,1577.674805,-3773.359375,-1142.698486,1574.231812

