Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.713867,-4788.281250,139.457581,-626.615479,-4672.285156,133.213394,-707.194580,-4791.512207,135.772797,-627.649597,-4554.335938,133.799789,-467.008270,-4791.785156,135.026947,1866.244629,-3635.917236,1609.239014,1928.056641,-3634.589600,1610.843140,2005.271240,-3635.084473,1613.828491

