Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.812866,-4788.330078,139.403656,-626.589233,-4672.319824,133.170959,-707.209595,-4791.580078,135.729111,-627.737915,-4554.387695,133.689240,-467.080902,-4791.806641,134.984741,1876.602417,-1146.284058,1581.591309,1938.610596,-1147.415894,1578.631470,2015.559204,-1150.846924,1576.770142

