Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
77,0,-629.852417,-4788.212891,139.498856,-626.627380,-4672.238281,133.282166,-707.214600,-4791.567871,135.806839,-627.730896,-4554.350098,133.833725,-467.147430,-4791.825195,134.996246,-3640.959473,-3609.443848,1616.966309,-3704.106445,-3612.121582,1621.441528,-3779.770752,-3614.638184,1624.421387

