Trajectories
100
,,Room_y Maze:big_wand1,,,Room_y Maze:big_wand2,,,Room_y Maze:big_wand3,,,Room_y Maze:big_wand4,,,Room_y Maze:big_wand5,,,Mic:landmark_11,,,Mic:landmark_12,,,Mic:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-629.823669,-4788.356934,139.412201,-626.617859,-4672.290527,133.208206,-707.218811,-4791.554199,135.743912,-627.721436,-4554.379395,133.737549,-467.082245,-4791.812988,134.995148,2013.638306,918.988464,1545.108032,1939.877441,941.221313,1546.642822,1870.170898,902.514099,1555.926025

